0,1,2
Precinct,Times Cast,"Registered 
Voters"
Upper Dublin 1-3,,
Election Day,743,"1,388"
Mail-in,486,"1,388"
Provisional,11,"1,388"
Total,"1,240","1,388"
Upper Dublin 2-1,,
Election Day,531,969
Mail-in,325,969
Provisional,6,969
Total,862,969
Upper Dublin 2-2,,
Election Day,458,758
Mail-in,234,758
Provisional,2,758
Total,694,758
Upper Dublin 2-3,,
Election Day,636,"1,309"
Mail-in,453,"1,309"
Provisional,4,"1,309"
Total,"1,093","1,309"
Upper Dublin 3-1,,
Election Day,"1,191","2,380"
Mail-in,876,"2,380"
Provisional,14,"2,380"
Total,"2,081","2,380"
Upper Dublin 3-2,,
Election Day,780,"1,224"
Mail-in,309,"1,224"
Provisional,7,"1,224"
Total,"1,096","1,224"
