0,1,2
Precinct,Times Cast,"Registered 
Voters"
Upper Gwynedd 7,,
Election Day,"1,189","2,339"
Mail-in,848,"2,339"
Provisional,15,"2,339"
Total,"2,052","2,339"
Upper Merion Belmont 5,,
Election Day,807,"1,705"
Mail-in,476,"1,705"
Provisional,0,"1,705"
Total,"1,283","1,705"
Upper Moreland 1-1,,
Election Day,963,"1,693"
Mail-in,376,"1,693"
Provisional,2,"1,693"
Total,"1,341","1,693"
Upper Moreland 1-2,,
Election Day,726,"1,157"
Mail-in,282,"1,157"
Provisional,0,"1,157"
Total,"1,008","1,157"
Upper Moreland 2-1,,
Election Day,624,"1,298"
Mail-in,314,"1,298"
Provisional,13,"1,298"
Total,951,"1,298"
Upper Moreland 2-2,,
Election Day,632,"1,161"
Mail-in,283,"1,161"
Provisional,10,"1,161"
Total,925,"1,161"
