0,1,2
Precinct,Times Cast,"Registered 
Voters"
Conshohocken 5,,
Election Day,582,912
Mail-in,165,912
Provisional,7,912
Total,754,912
Conshohocken 6,,
Election Day,563,853
Mail-in,182,853
Provisional,2,853
Total,747,853
Conshohocken 7,,
Election Day,478,727
Mail-in,160,727
Provisional,4,727
Total,642,727
Green Lane,,
Election Day,242,326
Mail-in,36,326
Provisional,2,326
Total,280,326
Hatboro North 1,,
Election Day,631,939
Mail-in,194,939
Provisional,4,939
Total,829,939
Hatboro North 2,,
Election Day,"1,373","2,287"
Mail-in,501,"2,287"
Provisional,17,"2,287"
Total,"1,891","2,287"
