0,1,2
Precinct,Times Cast,"Registered 
Voters"
Lower Merion 9-2,,
Election Day,649,"1,485"
Mail-in,564,"1,485"
Provisional,17,"1,485"
Total,"1,230","1,485"
Lower Merion 9-3,,
Election Day,744,"1,891"
Mail-in,772,"1,891"
Provisional,21,"1,891"
Total,"1,537","1,891"
Lower Merion 11-3,,
Election Day,608,"1,318"
Mail-in,500,"1,318"
Provisional,0,"1,318"
Total,"1,108","1,318"
Lower Merion 12-3,,
Election Day,109,255
Mail-in,118,255
Provisional,0,255
Total,227,255
Lower Merion 13-1,,
Election Day,552,"1,136"
Mail-in,412,"1,136"
Provisional,2,"1,136"
Total,966,"1,136"
Lower Merion 13-2,,
Election Day,645,"1,270"
Mail-in,469,"1,270"
Provisional,7,"1,270"
Total,"1,121","1,270"
