precinct,method,candidate,votes
Upper Moreland 1-2,Election Day,ROBERT P CASEY JR(DEM),412
Upper Moreland 1-2,Election Day,DAVE MCCORMICK(REP),295
Upper Moreland 1-2,Mail-in,ROBERT P CASEY JR(DEM),204
Upper Moreland 1-2,Mail-in,DAVE MCCORMICK(REP),74
Upper Moreland 1-2,Provisional,ROBERT P CASEY JR(DEM),0
Upper Moreland 1-2,Provisional,DAVE MCCORMICK(REP),0
Upper Moreland 1-2,Total,ROBERT P CASEY JR(DEM),616
Upper Moreland 1-2,Total,DAVE MCCORMICK(REP),369
Upper Moreland 2-1,Election Day,ROBERT P CASEY JR(DEM),325
Upper Moreland 2-1,Election Day,DAVE MCCORMICK(REP),275
Upper Moreland 2-1,Mail-in,ROBERT P CASEY JR(DEM),221
Upper Moreland 2-1,Mail-in,DAVE MCCORMICK(REP),84
Upper Moreland 2-1,Provisional,ROBERT P CASEY JR(DEM),8
Upper Moreland 2-1,Provisional,DAVE MCCORMICK(REP),4
Upper Moreland 2-1,Total,ROBERT P CASEY JR(DEM),554
Upper Moreland 2-1,Total,DAVE MCCORMICK(REP),363
Upper Moreland 2-2,Election Day,ROBERT P CASEY JR(DEM),****
Upper Moreland 2-2,Election Day,DAVE MCCORMICK(REP),****
Upper Moreland 2-2,Mail-in,ROBERT P CASEY JR(DEM),****
Upper Moreland 2-2,Mail-in,DAVE MCCORMICK(REP),****
Upper Moreland 2-2,Provisional,ROBERT P CASEY JR(DEM),****
Upper Moreland 2-2,Provisional,DAVE MCCORMICK(REP),****
Upper Moreland 2-2,Total,ROBERT P CASEY JR(DEM),522
Upper Moreland 2-2,Total,DAVE MCCORMICK(REP),359
Upper Moreland 3-1,Election Day,ROBERT P CASEY JR(DEM),****
Upper Moreland 3-1,Election Day,DAVE MCCORMICK(REP),****
Upper Moreland 3-1,Mail-in,ROBERT P CASEY JR(DEM),****
Upper Moreland 3-1,Mail-in,DAVE MCCORMICK(REP),****
Upper Moreland 3-1,Provisional,ROBERT P CASEY JR(DEM),****
Upper Moreland 3-1,Provisional,DAVE MCCORMICK(REP),****
Upper Moreland 3-1,Total,ROBERT P CASEY JR(DEM),729
Upper Moreland 3-1,Total,DAVE MCCORMICK(REP),442
Upper Moreland 3-2,Election Day,ROBERT P CASEY JR(DEM),252
Upper Moreland 3-2,Election Day,DAVE MCCORMICK(REP),149
Upper Moreland 3-2,Mail-in,ROBERT P CASEY JR(DEM),174
Upper Moreland 3-2,Mail-in,DAVE MCCORMICK(REP),40
Upper Moreland 3-2,Provisional,ROBERT P CASEY JR(DEM),0
Upper Moreland 3-2,Provisional,DAVE MCCORMICK(REP),0
Upper Moreland 3-2,Total,ROBERT P CASEY JR(DEM),426
Upper Moreland 3-2,Total,DAVE MCCORMICK(REP),189
Upper Moreland 4-1,Election Day,ROBERT P CASEY JR(DEM),****
Upper Moreland 4-1,Election Day,DAVE MCCORMICK(REP),****
Upper Moreland 4-1,Mail-in,ROBERT P CASEY JR(DEM),****
Upper Moreland 4-1,Mail-in,DAVE MCCORMICK(REP),****
Upper Moreland 4-1,Provisional,ROBERT P CASEY JR(DEM),****
Upper Moreland 4-1,Provisional,DAVE MCCORMICK(REP),****
Upper Moreland 4-1,Total,ROBERT P CASEY JR(DEM),546
Upper Moreland 4-1,Total,DAVE MCCORMICK(REP),368
