precinct,method,candidate,votes
Upper Dublin 4-3,Election Day,ROBERT P CASEY JR(DEM),****
Upper Dublin 4-3,Election Day,DAVE MCCORMICK(REP),****
Upper Dublin 4-3,Mail-in,ROBERT P CASEY JR(DEM),****
Upper Dublin 4-3,Mail-in,DAVE MCCORMICK(REP),****
Upper Dublin 4-3,Provisional,ROBERT P CASEY JR(DEM),****
Upper Dublin 4-3,Provisional,DAVE MCCORMICK(REP),****
Upper Dublin 4-3,Total,ROBERT P CASEY JR(DEM),596
Upper Dublin 4-3,Total,DAVE MCCORMICK(REP),291
Upper Dublin 5-1,Election Day,ROBERT P CASEY JR(DEM),****
Upper Dublin 5-1,Election Day,DAVE MCCORMICK(REP),****
Upper Dublin 5-1,Mail-in,ROBERT P CASEY JR(DEM),****
Upper Dublin 5-1,Mail-in,DAVE MCCORMICK(REP),****
Upper Dublin 5-1,Provisional,ROBERT P CASEY JR(DEM),****
Upper Dublin 5-1,Provisional,DAVE MCCORMICK(REP),****
Upper Dublin 5-1,Total,ROBERT P CASEY JR(DEM),554
Upper Dublin 5-1,Total,DAVE MCCORMICK(REP),271
Upper Dublin 5-2,Election Day,ROBERT P CASEY JR(DEM),405
Upper Dublin 5-2,Election Day,DAVE MCCORMICK(REP),242
Upper Dublin 5-2,Mail-in,ROBERT P CASEY JR(DEM),278
Upper Dublin 5-2,Mail-in,DAVE MCCORMICK(REP),72
Upper Dublin 5-2,Provisional,ROBERT P CASEY JR(DEM),10
Upper Dublin 5-2,Provisional,DAVE MCCORMICK(REP),5
Upper Dublin 5-2,Total,ROBERT P CASEY JR(DEM),693
Upper Dublin 5-2,Total,DAVE MCCORMICK(REP),319
Upper Dublin 5-3,Election Day,ROBERT P CASEY JR(DEM),****
Upper Dublin 5-3,Election Day,DAVE MCCORMICK(REP),****
Upper Dublin 5-3,Mail-in,ROBERT P CASEY JR(DEM),****
Upper Dublin 5-3,Mail-in,DAVE MCCORMICK(REP),****
Upper Dublin 5-3,Provisional,ROBERT P CASEY JR(DEM),****
Upper Dublin 5-3,Provisional,DAVE MCCORMICK(REP),****
Upper Dublin 5-3,Total,ROBERT P CASEY JR(DEM),733
Upper Dublin 5-3,Total,DAVE MCCORMICK(REP),269
Upper Dublin 6-1,Election Day,ROBERT P CASEY JR(DEM),585
Upper Dublin 6-1,Election Day,DAVE MCCORMICK(REP),356
Upper Dublin 6-1,Mail-in,ROBERT P CASEY JR(DEM),412
Upper Dublin 6-1,Mail-in,DAVE MCCORMICK(REP),94
Upper Dublin 6-1,Provisional,ROBERT P CASEY JR(DEM),11
Upper Dublin 6-1,Provisional,DAVE MCCORMICK(REP),1
Upper Dublin 6-1,Total,ROBERT P CASEY JR(DEM),"1,008"
Upper Dublin 6-1,Total,DAVE MCCORMICK(REP),451
Upper Dublin 6-2,Election Day,ROBERT P CASEY JR(DEM),****
Upper Dublin 6-2,Election Day,DAVE MCCORMICK(REP),****
Upper Dublin 6-2,Mail-in,ROBERT P CASEY JR(DEM),****
Upper Dublin 6-2,Mail-in,DAVE MCCORMICK(REP),****
Upper Dublin 6-2,Provisional,ROBERT P CASEY JR(DEM),****
Upper Dublin 6-2,Provisional,DAVE MCCORMICK(REP),****
Upper Dublin 6-2,Total,ROBERT P CASEY JR(DEM),604
Upper Dublin 6-2,Total,DAVE MCCORMICK(REP),368
