precinct,method,candidate,votes
Abington 8-1,Election Day,JOHN C THOMAS(LIB),****
Abington 8-1,Election Day,LEILA HAZOU(GRE),****
Abington 8-1,Election Day,MARTY SELKER(CON),****
Abington 8-1,Election Day,UnresolvedWrite-In,****
Abington 8-1,Mail-in,JOHN C THOMAS(LIB),****
Abington 8-1,Mail-in,LEILA HAZOU(GRE),****
Abington 8-1,Mail-in,MARTY SELKER(CON),****
Abington 8-1,Mail-in,UnresolvedWrite-In,****
Abington 8-1,Provisional,JOHN C THOMAS(LIB),****
Abington 8-1,Provisional,LEILA HAZOU(GRE),****
Abington 8-1,Provisional,MARTY SELKER(CON),****
Abington 8-1,Provisional,UnresolvedWrite-In,****
Abington 8-1,Total,JOHN C THOMAS(LIB),16
Abington 8-1,Total,LEILA HAZOU(GRE),11
Abington 8-1,Total,MARTY SELKER(CON),2
Abington 8-1,Total,UnresolvedWrite-In,0
Abington 8-2,Election Day,JOHN C THOMAS(LIB),****
Abington 8-2,Election Day,LEILA HAZOU(GRE),****
Abington 8-2,Election Day,MARTY SELKER(CON),****
Abington 8-2,Election Day,UnresolvedWrite-In,****
Abington 8-2,Mail-in,JOHN C THOMAS(LIB),****
Abington 8-2,Mail-in,LEILA HAZOU(GRE),****
Abington 8-2,Mail-in,MARTY SELKER(CON),****
Abington 8-2,Mail-in,UnresolvedWrite-In,****
Abington 8-2,Provisional,JOHN C THOMAS(LIB),****
Abington 8-2,Provisional,LEILA HAZOU(GRE),****
Abington 8-2,Provisional,MARTY SELKER(CON),****
Abington 8-2,Provisional,UnresolvedWrite-In,****
Abington 8-2,Total,JOHN C THOMAS(LIB),16
Abington 8-2,Total,LEILA HAZOU(GRE),9
Abington 8-2,Total,MARTY SELKER(CON),3
Abington 8-2,Total,UnresolvedWrite-In,2
Abington 9-1,Election Day,JOHN C THOMAS(LIB),20
Abington 9-1,Election Day,LEILA HAZOU(GRE),8
Abington 9-1,Election Day,MARTY SELKER(CON),3
Abington 9-1,Election Day,UnresolvedWrite-In,0
Abington 9-1,Mail-in,JOHN C THOMAS(LIB),2
Abington 9-1,Mail-in,LEILA HAZOU(GRE),3
Abington 9-1,Mail-in,MARTY SELKER(CON),0
Abington 9-1,Mail-in,UnresolvedWrite-In,0
Abington 9-1,Provisional,JOHN C THOMAS(LIB),1
Abington 9-1,Provisional,LEILA HAZOU(GRE),0
Abington 9-1,Provisional,MARTY SELKER(CON),1
Abington 9-1,Provisional,UnresolvedWrite-In,0
Abington 9-1,Total,JOHN C THOMAS(LIB),23
Abington 9-1,Total,LEILA HAZOU(GRE),11
Abington 9-1,Total,MARTY SELKER(CON),4
Abington 9-1,Total,UnresolvedWrite-In,0
Abington 9-2,Election Day,JOHN C THOMAS(LIB),****
Abington 9-2,Election Day,LEILA HAZOU(GRE),****
Abington 9-2,Election Day,MARTY SELKER(CON),****
Abington 9-2,Election Day,UnresolvedWrite-In,****
Abington 9-2,Mail-in,JOHN C THOMAS(LIB),****
Abington 9-2,Mail-in,LEILA HAZOU(GRE),****
Abington 9-2,Mail-in,MARTY SELKER(CON),****
Abington 9-2,Mail-in,UnresolvedWrite-In,****
Abington 9-2,Provisional,JOHN C THOMAS(LIB),****
Abington 9-2,Provisional,LEILA HAZOU(GRE),****
Abington 9-2,Provisional,MARTY SELKER(CON),****
Abington 9-2,Provisional,UnresolvedWrite-In,****
Abington 9-2,Total,JOHN C THOMAS(LIB),16
Abington 9-2,Total,LEILA HAZOU(GRE),13
Abington 9-2,Total,MARTY SELKER(CON),4
Abington 9-2,Total,UnresolvedWrite-In,1
Abington 10-1,Election Day,JOHN C THOMAS(LIB),6
Abington 10-1,Election Day,LEILA HAZOU(GRE),9
Abington 10-1,Election Day,MARTY SELKER(CON),1
Abington 10-1,Election Day,UnresolvedWrite-In,0
Abington 10-1,Mail-in,JOHN C THOMAS(LIB),1
Abington 10-1,Mail-in,LEILA HAZOU(GRE),2
Abington 10-1,Mail-in,MARTY SELKER(CON),0
Abington 10-1,Mail-in,UnresolvedWrite-In,1
Abington 10-1,Provisional,JOHN C THOMAS(LIB),0
Abington 10-1,Provisional,LEILA HAZOU(GRE),0
Abington 10-1,Provisional,MARTY SELKER(CON),0
Abington 10-1,Provisional,UnresolvedWrite-In,0
Abington 10-1,Total,JOHN C THOMAS(LIB),7
Abington 10-1,Total,LEILA HAZOU(GRE),11
Abington 10-1,Total,MARTY SELKER(CON),1
Abington 10-1,Total,UnresolvedWrite-In,1
Abington 10-2,Election Day,JOHN C THOMAS(LIB),6
Abington 10-2,Election Day,LEILA HAZOU(GRE),9
Abington 10-2,Election Day,MARTY SELKER(CON),2
Abington 10-2,Election Day,UnresolvedWrite-In,1
Abington 10-2,Mail-in,JOHN C THOMAS(LIB),0
Abington 10-2,Mail-in,LEILA HAZOU(GRE),1
Abington 10-2,Mail-in,MARTY SELKER(CON),1
Abington 10-2,Mail-in,UnresolvedWrite-In,0
Abington 10-2,Provisional,JOHN C THOMAS(LIB),0
Abington 10-2,Provisional,LEILA HAZOU(GRE),1
Abington 10-2,Provisional,MARTY SELKER(CON),0
Abington 10-2,Provisional,UnresolvedWrite-In,0
Abington 10-2,Total,JOHN C THOMAS(LIB),6
Abington 10-2,Total,LEILA HAZOU(GRE),11
Abington 10-2,Total,MARTY SELKER(CON),3
Abington 10-2,Total,UnresolvedWrite-In,1
