precinct,method,candidate,votes
Lower Merion 14-3,Election Day,JOHN C THOMAS(LIB),3
Lower Merion 14-3,Election Day,LEILA HAZOU(GRE),8
Lower Merion 14-3,Election Day,MARTY SELKER(CON),2
Lower Merion 14-3,Election Day,UnresolvedWrite-In,0
Lower Merion 14-3,Mail-in,JOHN C THOMAS(LIB),2
Lower Merion 14-3,Mail-in,LEILA HAZOU(GRE),3
Lower Merion 14-3,Mail-in,MARTY SELKER(CON),0
Lower Merion 14-3,Mail-in,UnresolvedWrite-In,0
Lower Merion 14-3,Provisional,JOHN C THOMAS(LIB),0
Lower Merion 14-3,Provisional,LEILA HAZOU(GRE),0
Lower Merion 14-3,Provisional,MARTY SELKER(CON),0
Lower Merion 14-3,Provisional,UnresolvedWrite-In,0
Lower Merion 14-3,Total,JOHN C THOMAS(LIB),5
Lower Merion 14-3,Total,LEILA HAZOU(GRE),11
Lower Merion 14-3,Total,MARTY SELKER(CON),2
Lower Merion 14-3,Total,UnresolvedWrite-In,0
Lower Moreland 1,Election Day,JOHN C THOMAS(LIB),12
Lower Moreland 1,Election Day,LEILA HAZOU(GRE),6
Lower Moreland 1,Election Day,MARTY SELKER(CON),3
Lower Moreland 1,Election Day,UnresolvedWrite-In,0
Lower Moreland 1,Mail-in,JOHN C THOMAS(LIB),6
Lower Moreland 1,Mail-in,LEILA HAZOU(GRE),6
Lower Moreland 1,Mail-in,MARTY SELKER(CON),1
Lower Moreland 1,Mail-in,UnresolvedWrite-In,0
Lower Moreland 1,Provisional,JOHN C THOMAS(LIB),0
Lower Moreland 1,Provisional,LEILA HAZOU(GRE),0
Lower Moreland 1,Provisional,MARTY SELKER(CON),0
Lower Moreland 1,Provisional,UnresolvedWrite-In,0
Lower Moreland 1,Total,JOHN C THOMAS(LIB),18
Lower Moreland 1,Total,LEILA HAZOU(GRE),12
Lower Moreland 1,Total,MARTY SELKER(CON),4
Lower Moreland 1,Total,UnresolvedWrite-In,0
Lower Moreland 2,Election Day,JOHN C THOMAS(LIB),****
Lower Moreland 2,Election Day,LEILA HAZOU(GRE),****
Lower Moreland 2,Election Day,MARTY SELKER(CON),****
Lower Moreland 2,Election Day,UnresolvedWrite-In,****
Lower Moreland 2,Mail-in,JOHN C THOMAS(LIB),****
Lower Moreland 2,Mail-in,LEILA HAZOU(GRE),****
Lower Moreland 2,Mail-in,MARTY SELKER(CON),****
Lower Moreland 2,Mail-in,UnresolvedWrite-In,****
Lower Moreland 2,Provisional,JOHN C THOMAS(LIB),****
Lower Moreland 2,Provisional,LEILA HAZOU(GRE),****
Lower Moreland 2,Provisional,MARTY SELKER(CON),****
Lower Moreland 2,Provisional,UnresolvedWrite-In,****
Lower Moreland 2,Total,JOHN C THOMAS(LIB),6
Lower Moreland 2,Total,LEILA HAZOU(GRE),12
Lower Moreland 2,Total,MARTY SELKER(CON),4
Lower Moreland 2,Total,UnresolvedWrite-In,1
Lower Moreland 3,Election Day,JOHN C THOMAS(LIB),15
Lower Moreland 3,Election Day,LEILA HAZOU(GRE),11
Lower Moreland 3,Election Day,MARTY SELKER(CON),1
Lower Moreland 3,Election Day,UnresolvedWrite-In,2
Lower Moreland 3,Mail-in,JOHN C THOMAS(LIB),3
Lower Moreland 3,Mail-in,LEILA HAZOU(GRE),5
Lower Moreland 3,Mail-in,MARTY SELKER(CON),0
Lower Moreland 3,Mail-in,UnresolvedWrite-In,0
Lower Moreland 3,Provisional,JOHN C THOMAS(LIB),0
Lower Moreland 3,Provisional,LEILA HAZOU(GRE),2
Lower Moreland 3,Provisional,MARTY SELKER(CON),0
Lower Moreland 3,Provisional,UnresolvedWrite-In,0
Lower Moreland 3,Total,JOHN C THOMAS(LIB),18
Lower Moreland 3,Total,LEILA HAZOU(GRE),18
Lower Moreland 3,Total,MARTY SELKER(CON),1
Lower Moreland 3,Total,UnresolvedWrite-In,2
Lower Moreland 4-1,Election Day,JOHN C THOMAS(LIB),****
Lower Moreland 4-1,Election Day,LEILA HAZOU(GRE),****
Lower Moreland 4-1,Election Day,MARTY SELKER(CON),****
Lower Moreland 4-1,Election Day,UnresolvedWrite-In,****
Lower Moreland 4-1,Mail-in,JOHN C THOMAS(LIB),****
Lower Moreland 4-1,Mail-in,LEILA HAZOU(GRE),****
Lower Moreland 4-1,Mail-in,MARTY SELKER(CON),****
Lower Moreland 4-1,Mail-in,UnresolvedWrite-In,****
Lower Moreland 4-1,Provisional,JOHN C THOMAS(LIB),****
Lower Moreland 4-1,Provisional,LEILA HAZOU(GRE),****
Lower Moreland 4-1,Provisional,MARTY SELKER(CON),****
Lower Moreland 4-1,Provisional,UnresolvedWrite-In,****
Lower Moreland 4-1,Total,JOHN C THOMAS(LIB),11
Lower Moreland 4-1,Total,LEILA HAZOU(GRE),7
Lower Moreland 4-1,Total,MARTY SELKER(CON),2
Lower Moreland 4-1,Total,UnresolvedWrite-In,1
Lower Moreland 4-2,Election Day,JOHN C THOMAS(LIB),****
Lower Moreland 4-2,Election Day,LEILA HAZOU(GRE),****
Lower Moreland 4-2,Election Day,MARTY SELKER(CON),****
Lower Moreland 4-2,Election Day,UnresolvedWrite-In,****
Lower Moreland 4-2,Mail-in,JOHN C THOMAS(LIB),****
Lower Moreland 4-2,Mail-in,LEILA HAZOU(GRE),****
Lower Moreland 4-2,Mail-in,MARTY SELKER(CON),****
Lower Moreland 4-2,Mail-in,UnresolvedWrite-In,****
Lower Moreland 4-2,Provisional,JOHN C THOMAS(LIB),****
Lower Moreland 4-2,Provisional,LEILA HAZOU(GRE),****
Lower Moreland 4-2,Provisional,MARTY SELKER(CON),****
Lower Moreland 4-2,Provisional,UnresolvedWrite-In,****
Lower Moreland 4-2,Total,JOHN C THOMAS(LIB),3
Lower Moreland 4-2,Total,LEILA HAZOU(GRE),7
Lower Moreland 4-2,Total,MARTY SELKER(CON),2
Lower Moreland 4-2,Total,UnresolvedWrite-In,0
