precinct,method,candidate,votes
Upper Dublin 4-3,Election Day,JOHN C THOMAS(LIB),****
Upper Dublin 4-3,Election Day,LEILA HAZOU(GRE),****
Upper Dublin 4-3,Election Day,MARTY SELKER(CON),****
Upper Dublin 4-3,Election Day,UnresolvedWrite-In,****
Upper Dublin 4-3,Mail-in,JOHN C THOMAS(LIB),****
Upper Dublin 4-3,Mail-in,LEILA HAZOU(GRE),****
Upper Dublin 4-3,Mail-in,MARTY SELKER(CON),****
Upper Dublin 4-3,Mail-in,UnresolvedWrite-In,****
Upper Dublin 4-3,Provisional,JOHN C THOMAS(LIB),****
Upper Dublin 4-3,Provisional,LEILA HAZOU(GRE),****
Upper Dublin 4-3,Provisional,MARTY SELKER(CON),****
Upper Dublin 4-3,Provisional,UnresolvedWrite-In,****
Upper Dublin 4-3,Total,JOHN C THOMAS(LIB),8
Upper Dublin 4-3,Total,LEILA HAZOU(GRE),5
Upper Dublin 4-3,Total,MARTY SELKER(CON),0
Upper Dublin 4-3,Total,UnresolvedWrite-In,0
Upper Dublin 5-1,Election Day,JOHN C THOMAS(LIB),****
Upper Dublin 5-1,Election Day,LEILA HAZOU(GRE),****
Upper Dublin 5-1,Election Day,MARTY SELKER(CON),****
Upper Dublin 5-1,Election Day,UnresolvedWrite-In,****
Upper Dublin 5-1,Mail-in,JOHN C THOMAS(LIB),****
Upper Dublin 5-1,Mail-in,LEILA HAZOU(GRE),****
Upper Dublin 5-1,Mail-in,MARTY SELKER(CON),****
Upper Dublin 5-1,Mail-in,UnresolvedWrite-In,****
Upper Dublin 5-1,Provisional,JOHN C THOMAS(LIB),****
Upper Dublin 5-1,Provisional,LEILA HAZOU(GRE),****
Upper Dublin 5-1,Provisional,MARTY SELKER(CON),****
Upper Dublin 5-1,Provisional,UnresolvedWrite-In,****
Upper Dublin 5-1,Total,JOHN C THOMAS(LIB),10
Upper Dublin 5-1,Total,LEILA HAZOU(GRE),7
Upper Dublin 5-1,Total,MARTY SELKER(CON),1
Upper Dublin 5-1,Total,UnresolvedWrite-In,1
Upper Dublin 5-2,Election Day,JOHN C THOMAS(LIB),10
Upper Dublin 5-2,Election Day,LEILA HAZOU(GRE),8
Upper Dublin 5-2,Election Day,MARTY SELKER(CON),2
Upper Dublin 5-2,Election Day,UnresolvedWrite-In,0
Upper Dublin 5-2,Mail-in,JOHN C THOMAS(LIB),3
Upper Dublin 5-2,Mail-in,LEILA HAZOU(GRE),5
Upper Dublin 5-2,Mail-in,MARTY SELKER(CON),1
Upper Dublin 5-2,Mail-in,UnresolvedWrite-In,0
Upper Dublin 5-2,Provisional,JOHN C THOMAS(LIB),1
Upper Dublin 5-2,Provisional,LEILA HAZOU(GRE),0
Upper Dublin 5-2,Provisional,MARTY SELKER(CON),0
Upper Dublin 5-2,Provisional,UnresolvedWrite-In,0
Upper Dublin 5-2,Total,JOHN C THOMAS(LIB),14
Upper Dublin 5-2,Total,LEILA HAZOU(GRE),13
Upper Dublin 5-2,Total,MARTY SELKER(CON),3
Upper Dublin 5-2,Total,UnresolvedWrite-In,0
Upper Dublin 5-3,Election Day,JOHN C THOMAS(LIB),****
Upper Dublin 5-3,Election Day,LEILA HAZOU(GRE),****
Upper Dublin 5-3,Election Day,MARTY SELKER(CON),****
Upper Dublin 5-3,Election Day,UnresolvedWrite-In,****
Upper Dublin 5-3,Mail-in,JOHN C THOMAS(LIB),****
Upper Dublin 5-3,Mail-in,LEILA HAZOU(GRE),****
Upper Dublin 5-3,Mail-in,MARTY SELKER(CON),****
Upper Dublin 5-3,Mail-in,UnresolvedWrite-In,****
Upper Dublin 5-3,Provisional,JOHN C THOMAS(LIB),****
Upper Dublin 5-3,Provisional,LEILA HAZOU(GRE),****
Upper Dublin 5-3,Provisional,MARTY SELKER(CON),****
Upper Dublin 5-3,Provisional,UnresolvedWrite-In,****
Upper Dublin 5-3,Total,JOHN C THOMAS(LIB),12
Upper Dublin 5-3,Total,LEILA HAZOU(GRE),9
Upper Dublin 5-3,Total,MARTY SELKER(CON),0
Upper Dublin 5-3,Total,UnresolvedWrite-In,2
Upper Dublin 6-1,Election Day,JOHN C THOMAS(LIB),9
Upper Dublin 6-1,Election Day,LEILA HAZOU(GRE),3
Upper Dublin 6-1,Election Day,MARTY SELKER(CON),1
Upper Dublin 6-1,Election Day,UnresolvedWrite-In,0
Upper Dublin 6-1,Mail-in,JOHN C THOMAS(LIB),5
Upper Dublin 6-1,Mail-in,LEILA HAZOU(GRE),4
Upper Dublin 6-1,Mail-in,MARTY SELKER(CON),0
Upper Dublin 6-1,Mail-in,UnresolvedWrite-In,0
Upper Dublin 6-1,Provisional,JOHN C THOMAS(LIB),0
Upper Dublin 6-1,Provisional,LEILA HAZOU(GRE),0
Upper Dublin 6-1,Provisional,MARTY SELKER(CON),0
Upper Dublin 6-1,Provisional,UnresolvedWrite-In,0
Upper Dublin 6-1,Total,JOHN C THOMAS(LIB),14
Upper Dublin 6-1,Total,LEILA HAZOU(GRE),7
Upper Dublin 6-1,Total,MARTY SELKER(CON),1
Upper Dublin 6-1,Total,UnresolvedWrite-In,0
Upper Dublin 6-2,Election Day,JOHN C THOMAS(LIB),****
Upper Dublin 6-2,Election Day,LEILA HAZOU(GRE),****
Upper Dublin 6-2,Election Day,MARTY SELKER(CON),****
Upper Dublin 6-2,Election Day,UnresolvedWrite-In,****
Upper Dublin 6-2,Mail-in,JOHN C THOMAS(LIB),****
Upper Dublin 6-2,Mail-in,LEILA HAZOU(GRE),****
Upper Dublin 6-2,Mail-in,MARTY SELKER(CON),****
Upper Dublin 6-2,Mail-in,UnresolvedWrite-In,****
Upper Dublin 6-2,Provisional,JOHN C THOMAS(LIB),****
Upper Dublin 6-2,Provisional,LEILA HAZOU(GRE),****
Upper Dublin 6-2,Provisional,MARTY SELKER(CON),****
Upper Dublin 6-2,Provisional,UnresolvedWrite-In,****
Upper Dublin 6-2,Total,JOHN C THOMAS(LIB),12
Upper Dublin 6-2,Total,LEILA HAZOU(GRE),12
Upper Dublin 6-2,Total,MARTY SELKER(CON),0
Upper Dublin 6-2,Total,UnresolvedWrite-In,1
