precinct,method,candidate,votes
Lansdale 1-2,Election Day,ROBERT P CASEY JR(DEM),542
Lansdale 1-2,Election Day,DAVE MCCORMICK(REP),355
Lansdale 1-2,Mail-in,ROBERT P CASEY JR(DEM),301
Lansdale 1-2,Mail-in,DAVE MCCORMICK(REP),85
Lansdale 1-2,Provisional,ROBERT P CASEY JR(DEM),10
Lansdale 1-2,Provisional,DAVE MCCORMICK(REP),6
Lansdale 1-2,Total,ROBERT P CASEY JR(DEM),853
Lansdale 1-2,Total,DAVE MCCORMICK(REP),446
Lansdale 1-3,Election Day,ROBERT P CASEY JR(DEM),****
Lansdale 1-3,Election Day,DAVE MCCORMICK(REP),****
Lansdale 1-3,Mail-in,ROBERT P CASEY JR(DEM),****
Lansdale 1-3,Mail-in,DAVE MCCORMICK(REP),****
Lansdale 1-3,Provisional,ROBERT P CASEY JR(DEM),****
Lansdale 1-3,Provisional,DAVE MCCORMICK(REP),****
Lansdale 1-3,Total,ROBERT P CASEY JR(DEM),422
Lansdale 1-3,Total,DAVE MCCORMICK(REP),233
Lansdale 2-1,Election Day,ROBERT P CASEY JR(DEM),****
Lansdale 2-1,Election Day,DAVE MCCORMICK(REP),****
Lansdale 2-1,Mail-in,ROBERT P CASEY JR(DEM),****
Lansdale 2-1,Mail-in,DAVE MCCORMICK(REP),****
Lansdale 2-1,Provisional,ROBERT P CASEY JR(DEM),****
Lansdale 2-1,Provisional,DAVE MCCORMICK(REP),****
Lansdale 2-1,Total,ROBERT P CASEY JR(DEM),511
Lansdale 2-1,Total,DAVE MCCORMICK(REP),292
Lansdale 2-2,Election Day,ROBERT P CASEY JR(DEM),****
Lansdale 2-2,Election Day,DAVE MCCORMICK(REP),****
Lansdale 2-2,Mail-in,ROBERT P CASEY JR(DEM),****
Lansdale 2-2,Mail-in,DAVE MCCORMICK(REP),****
Lansdale 2-2,Provisional,ROBERT P CASEY JR(DEM),****
Lansdale 2-2,Provisional,DAVE MCCORMICK(REP),****
Lansdale 2-2,Total,ROBERT P CASEY JR(DEM),628
Lansdale 2-2,Total,DAVE MCCORMICK(REP),458
Lansdale 2-3,Election Day,ROBERT P CASEY JR(DEM),****
Lansdale 2-3,Election Day,DAVE MCCORMICK(REP),****
Lansdale 2-3,Mail-in,ROBERT P CASEY JR(DEM),****
Lansdale 2-3,Mail-in,DAVE MCCORMICK(REP),****
Lansdale 2-3,Provisional,ROBERT P CASEY JR(DEM),****
Lansdale 2-3,Provisional,DAVE MCCORMICK(REP),****
Lansdale 2-3,Total,ROBERT P CASEY JR(DEM),620
Lansdale 2-3,Total,DAVE MCCORMICK(REP),386
Lansdale 3-1,Election Day,ROBERT P CASEY JR(DEM),316
Lansdale 3-1,Election Day,DAVE MCCORMICK(REP),186
Lansdale 3-1,Mail-in,ROBERT P CASEY JR(DEM),105
Lansdale 3-1,Mail-in,DAVE MCCORMICK(REP),38
Lansdale 3-1,Provisional,ROBERT P CASEY JR(DEM),12
Lansdale 3-1,Provisional,DAVE MCCORMICK(REP),10
Lansdale 3-1,Total,ROBERT P CASEY JR(DEM),433
Lansdale 3-1,Total,DAVE MCCORMICK(REP),234
