precinct,candidate,votes
Banks Township,Unresolved Write-In,2
Beaver Meadows Borough,Unresolved Write-In,1
Bowmanstown Borough,Unresolved Write-In,0
East Penn Township - South,Unresolved Write-In,1
East Penn Township - North,Unresolved Write-In,0
East Side Borough,Unresolved Write-In,0
Franklin Township - Independent,Unresolved Write-In,0
Franklin Township - Harrity,Unresolved Write-In,4
Franklin Township - Long Run,Unresolved Write-In,1
Jim Thorpe Borough - First Ward,Unresolved Write-In,1
Jim Thorpe Borough - Second Ward,Unresolved Write-In,1
Jim Thorpe Borough - Third Ward,Unresolved Write-In,2
Jim Thorpe Borough - Fourth Ward,Unresolved Write-In,0
Jim Thorpe Borough - Fifth Ward,Unresolved Write-In,1
Kidder Township - North,Unresolved Write-In,3
Kidder Township - South,Unresolved Write-In,0
Lansford Borough - East,Unresolved Write-In,4
Lansford Borough - Middle,Unresolved Write-In,1
Lansford Borough - West,Unresolved Write-In,2
Lausanne Township,Unresolved Write-In,0
Lehigh Township,Unresolved Write-In,1
Lehighton Borough - First Ward,Unresolved Write-In,3
