0,1,2
Precinct,Times Cast,"Registered 
Voters"
Lower Merion 10-3,,
Election Day,694,"1,504"
Mail-in,328,"1,504"
Provisional,10,"1,504"
Total,"1,032","1,504"
Lower Merion 11-1,,
Election Day,474,"1,003"
Mail-in,388,"1,003"
Provisional,11,"1,003"
Total,873,"1,003"
Lower Merion 11-2,,
Election Day,180,420
Mail-in,131,420
Provisional,1,420
Total,312,420
Lower Merion 11-3,,
Election Day,6,8
Mail-in,1,8
Provisional,9,8
Total,16,8
Lower Merion 12-1,,
Election Day,538,"1,000"
Mail-in,306,"1,000"
Provisional,7,"1,000"
Total,851,"1,000"
Lower Merion 12-2,,
Election Day,527,"1,007"
Mail-in,351,"1,007"
Provisional,7,"1,007"
Total,885,"1,007"
