precinct,method,candidate,votes
Jenkintown 3,Mail-in,MARTY SELKER(CON),****
Jenkintown 3,Mail-in,Unresolved Write-In,****
Jenkintown 3,Provisional,JOHN C THOMAS(LIB),****
Jenkintown 3,Provisional,LEILA HAZOU(GRE),****
Jenkintown 3,Provisional,MARTY SELKER(CON),****
Jenkintown 3,Provisional,Unresolved Write-In,****
Jenkintown 3,Total,JOHN C THOMAS(LIB),4
Jenkintown 3,Total,LEILA HAZOU(GRE),9
Jenkintown 3,Total,MARTY SELKER(CON),0
Jenkintown 3,Total,Unresolved Write-In,1
Jenkintown 4,Election Day,JOHN C THOMAS(LIB),7
Jenkintown 4,Election Day,LEILA HAZOU(GRE),8
Jenkintown 4,Election Day,MARTY SELKER(CON),1
Jenkintown 4,Election Day,Unresolved Write-In,0
Jenkintown 4,Mail-in,JOHN C THOMAS(LIB),0
Jenkintown 4,Mail-in,LEILA HAZOU(GRE),2
Jenkintown 4,Mail-in,MARTY SELKER(CON),0
Jenkintown 4,Mail-in,Unresolved Write-In,0
Jenkintown 4,Provisional,JOHN C THOMAS(LIB),0
Jenkintown 4,Provisional,LEILA HAZOU(GRE),0
Jenkintown 4,Provisional,MARTY SELKER(CON),0
Jenkintown 4,Provisional,Unresolved Write-In,0
Jenkintown 4,Total,JOHN C THOMAS(LIB),7
Jenkintown 4,Total,LEILA HAZOU(GRE),10
Jenkintown 4,Total,MARTY SELKER(CON),1
Jenkintown 4,Total,Unresolved Write-In,0
Lansdale 1-1,Election Day,JOHN C THOMAS(LIB),18
Lansdale 1-1,Election Day,LEILA HAZOU(GRE),22
Lansdale 1-1,Election Day,MARTY SELKER(CON),5
Lansdale 1-1,Election Day,Unresolved Write-In,1
Lansdale 1-1,Mail-in,JOHN C THOMAS(LIB),5
Lansdale 1-1,Mail-in,LEILA HAZOU(GRE),5
Lansdale 1-1,Mail-in,MARTY SELKER(CON),2
Lansdale 1-1,Mail-in,Unresolved Write-In,1
Lansdale 1-1,Provisional,JOHN C THOMAS(LIB),0
Lansdale 1-1,Provisional,LEILA HAZOU(GRE),1
Lansdale 1-1,Provisional,MARTY SELKER(CON),0
Lansdale 1-1,Provisional,Unresolved Write-In,0
Lansdale 1-1,Total,JOHN C THOMAS(LIB),23
Lansdale 1-1,Total,LEILA HAZOU(GRE),28
Lansdale 1-1,Total,MARTY SELKER(CON),7
Lansdale 1-1,Total,Unresolved Write-In,2
Lower Salford 2,Election Day,JOHN C THOMAS(LIB),****
Lower Salford 2,Election Day,LEILA HAZOU(GRE),****
Lower Salford 2,Election Day,MARTY SELKER(CON),****
Lower Salford 2,Election Day,Unresolved Write-In,****
Lower Salford 2,Mail-in,JOHN C THOMAS(LIB),****
Lower Salford 2,Mail-in,LEILA HAZOU(GRE),****
Lower Salford 2,Mail-in,MARTY SELKER(CON),****
Lower Salford 2,Mail-in,Unresolved Write-In,****
Lower Salford 2,Provisional,JOHN C THOMAS(LIB),****
Lower Salford 2,Provisional,LEILA HAZOU(GRE),****
Lower Salford 2,Provisional,MARTY SELKER(CON),****
Lower Salford 2,Provisional,Unresolved Write-In,****
Lower Salford 2,Total,JOHN C THOMAS(LIB),20
Lower Salford 2,Total,LEILA HAZOU(GRE),11
Lower Salford 2,Total,MARTY SELKER(CON),4
Lower Salford 2,Total,Unresolved Write-In,0
Lower Salford 3,Election Day,JOHN C THOMAS(LIB),20
Lower Salford 3,Election Day,LEILA HAZOU(GRE),8
Lower Salford 3,Election Day,MARTY SELKER(CON),5
Lower Salford 3,Election Day,Unresolved Write-In,1
Lower Salford 3,Mail-in,JOHN C THOMAS(LIB),3
Lower Salford 3,Mail-in,LEILA HAZOU(GRE),4
Lower Salford 3,Mail-in,MARTY SELKER(CON),1
Lower Salford 3,Mail-in,Unresolved Write-In,0
Lower Salford 3,Provisional,JOHN C THOMAS(LIB),1
Lower Salford 3,Provisional,LEILA HAZOU(GRE),0
Lower Salford 3,Provisional,MARTY SELKER(CON),0
Lower Salford 3,Provisional,Unresolved Write-In,0
Lower Salford 3,Total,JOHN C THOMAS(LIB),24
Lower Salford 3,Total,LEILA HAZOU(GRE),12
