precinct,method,candidate,votes
Hatfield 1-2,Election Day,ASHLEY EHASZ(DEM),354
Hatfield 1-2,Election Day,BRIAN FITZPATRICK(REP),589
Hatfield 1-2,Mail-in,ASHLEY EHASZ(DEM),212
Hatfield 1-2,Mail-in,BRIAN FITZPATRICK(REP),155
Hatfield 1-2,Provisional,ASHLEY EHASZ(DEM),7
Hatfield 1-2,Provisional,BRIAN FITZPATRICK(REP),5
Hatfield 1-2,Total,ASHLEY EHASZ(DEM),573
Hatfield 1-2,Total,BRIAN FITZPATRICK(REP),749
Hatfield 2-1,Election Day,ASHLEY EHASZ(DEM),206
Hatfield 2-1,Election Day,BRIAN FITZPATRICK(REP),289
Hatfield 2-1,Mail-in,ASHLEY EHASZ(DEM),112
Hatfield 2-1,Mail-in,BRIAN FITZPATRICK(REP),68
Hatfield 2-1,Provisional,ASHLEY EHASZ(DEM),9
Hatfield 2-1,Provisional,BRIAN FITZPATRICK(REP),3
Hatfield 2-1,Total,ASHLEY EHASZ(DEM),327
Hatfield 2-1,Total,BRIAN FITZPATRICK(REP),360
Hatfield 2-2,Election Day,ASHLEY EHASZ(DEM),****
Hatfield 2-2,Election Day,BRIAN FITZPATRICK(REP),****
Hatfield 2-2,Mail-in,ASHLEY EHASZ(DEM),****
Hatfield 2-2,Mail-in,BRIAN FITZPATRICK(REP),****
Hatfield 2-2,Provisional,ASHLEY EHASZ(DEM),****
Hatfield 2-2,Provisional,BRIAN FITZPATRICK(REP),****
Hatfield 2-2,Total,ASHLEY EHASZ(DEM),252
Hatfield 2-2,Total,BRIAN FITZPATRICK(REP),252
Hatfield 3-1,Election Day,ASHLEY EHASZ(DEM),417
Hatfield 3-1,Election Day,BRIAN FITZPATRICK(REP),538
Hatfield 3-1,Mail-in,ASHLEY EHASZ(DEM),235
Hatfield 3-1,Mail-in,BRIAN FITZPATRICK(REP),151
Hatfield 3-1,Provisional,ASHLEY EHASZ(DEM),17
Hatfield 3-1,Provisional,BRIAN FITZPATRICK(REP),11
Hatfield 3-1,Total,ASHLEY EHASZ(DEM),669
Hatfield 3-1,Total,BRIAN FITZPATRICK(REP),700
Hatfield 3-2,Election Day,ASHLEY EHASZ(DEM),339
Hatfield 3-2,Election Day,BRIAN FITZPATRICK(REP),614
Hatfield 3-2,Mail-in,ASHLEY EHASZ(DEM),312
Hatfield 3-2,Mail-in,BRIAN FITZPATRICK(REP),232
Hatfield 3-2,Provisional,ASHLEY EHASZ(DEM),7
Hatfield 3-2,Provisional,BRIAN FITZPATRICK(REP),6
Hatfield 3-2,Total,ASHLEY EHASZ(DEM),658
Hatfield 3-2,Total,BRIAN FITZPATRICK(REP),852
Hatfield 4-1,Election Day,ASHLEY EHASZ(DEM),288
Hatfield 4-1,Election Day,BRIAN FITZPATRICK(REP),347
Hatfield 4-1,Mail-in,ASHLEY EHASZ(DEM),153
Hatfield 4-1,Mail-in,BRIAN FITZPATRICK(REP),73
Hatfield 4-1,Provisional,ASHLEY EHASZ(DEM),7
Hatfield 4-1,Provisional,BRIAN FITZPATRICK(REP),3
Hatfield 4-1,Total,ASHLEY EHASZ(DEM),448
Hatfield 4-1,Total,BRIAN FITZPATRICK(REP),423
