precinct,method,candidate,votes
Franconia 4,Election Day,UnresolvedWrite-In,****
Franconia 4,Mail-in,UnresolvedWrite-In,****
Franconia 4,Provisional,UnresolvedWrite-In,****
Franconia 4,Total,UnresolvedWrite-In,1
Franconia 5,Election Day,UnresolvedWrite-In,****
Franconia 5,Mail-in,UnresolvedWrite-In,****
Franconia 5,Provisional,UnresolvedWrite-In,****
Franconia 5,Total,UnresolvedWrite-In,1
Franconia 6,Election Day,UnresolvedWrite-In,****
Franconia 6,Mail-in,UnresolvedWrite-In,****
Franconia 6,Provisional,UnresolvedWrite-In,****
Franconia 6,Total,UnresolvedWrite-In,1
Franconia 7,Election Day,UnresolvedWrite-In,****
Franconia 7,Mail-in,UnresolvedWrite-In,****
Franconia 7,Provisional,UnresolvedWrite-In,****
Franconia 7,Total,UnresolvedWrite-In,2
Franconia 8,Election Day,UnresolvedWrite-In,****
Franconia 8,Mail-in,UnresolvedWrite-In,****
Franconia 8,Provisional,UnresolvedWrite-In,****
Franconia 8,Total,UnresolvedWrite-In,1
Hatfield 1-1,Election Day,UnresolvedWrite-In,0
Hatfield 1-1,Mail-in,UnresolvedWrite-In,0
Hatfield 1-1,Provisional,UnresolvedWrite-In,0
Hatfield 1-1,Total,UnresolvedWrite-In,0
