precinct,method,candidate,votes
Horsham 3-1,Election Day,BRIAN FITZPATRICK(REP),****
Horsham 3-1,Mail-in,ASHLEY EHASZ(DEM),****
Horsham 3-1,Mail-in,BRIAN FITZPATRICK(REP),****
Horsham 3-1,Provisional,ASHLEY EHASZ(DEM),****
Horsham 3-1,Provisional,BRIAN FITZPATRICK(REP),****
Horsham 3-1,Total,ASHLEY EHASZ(DEM),502
Horsham 3-1,Total,BRIAN FITZPATRICK(REP),556
Horsham 1-4,Election Day,Unresolved Write-In,****
Horsham 1-4,Mail-in,Unresolved Write-In,****
Horsham 1-4,Provisional,Unresolved Write-In,****
Horsham 1-4,Total,Unresolved Write-In,2
Horsham 1-5,Election Day,Unresolved Write-In,2
Horsham 1-5,Mail-in,Unresolved Write-In,3
Horsham 1-5,Provisional,Unresolved Write-In,0
Horsham 1-5,Total,Unresolved Write-In,5
Horsham 2-1,Election Day,Unresolved Write-In,0
Horsham 2-1,Mail-in,Unresolved Write-In,1
Horsham 2-1,Provisional,Unresolved Write-In,0
Horsham 2-1,Total,Unresolved Write-In,1
Horsham 2-2,Election Day,Unresolved Write-In,4
Horsham 2-2,Mail-in,Unresolved Write-In,0
Horsham 2-2,Provisional,Unresolved Write-In,0
Horsham 2-2,Total,Unresolved Write-In,4
Horsham 2-3,Election Day,Unresolved Write-In,****
Horsham 2-3,Mail-in,Unresolved Write-In,****
Horsham 2-3,Provisional,Unresolved Write-In,****
Horsham 2-3,Total,Unresolved Write-In,1
Horsham 3-1,Election Day,Unresolved Write-In,****
Horsham 3-1,Mail-in,Unresolved Write-In,****
Horsham 3-1,Provisional,Unresolved Write-In,****
Horsham 3-1,Total,Unresolved Write-In,2
Horsham 3-2,Election Day,ASHLEY EHASZ(DEM),****
Horsham 3-2,Election Day,BRIAN FITZPATRICK(REP),****
Horsham 3-2,Mail-in,ASHLEY EHASZ(DEM),****
Horsham 3-2,Mail-in,BRIAN FITZPATRICK(REP),****
Horsham 3-2,Provisional,ASHLEY EHASZ(DEM),****
Horsham 3-2,Provisional,BRIAN FITZPATRICK(REP),****
Horsham 3-2,Total,ASHLEY EHASZ(DEM),493
Horsham 3-2,Total,BRIAN FITZPATRICK(REP),418
Horsham 3-4,Election Day,ASHLEY EHASZ(DEM),****
Horsham 3-4,Election Day,BRIAN FITZPATRICK(REP),****
Horsham 3-4,Mail-in,ASHLEY EHASZ(DEM),****
Horsham 3-4,Mail-in,BRIAN FITZPATRICK(REP),****
Horsham 3-4,Provisional,ASHLEY EHASZ(DEM),****
Horsham 3-4,Provisional,BRIAN FITZPATRICK(REP),****
Horsham 3-4,Total,ASHLEY EHASZ(DEM),417
Horsham 3-4,Total,BRIAN FITZPATRICK(REP),358
Horsham 3-5,Election Day,ASHLEY EHASZ(DEM),****
Horsham 3-5,Election Day,BRIAN FITZPATRICK(REP),****
Horsham 3-5,Mail-in,ASHLEY EHASZ(DEM),****
Horsham 3-5,Mail-in,BRIAN FITZPATRICK(REP),****
Horsham 3-5,Provisional,ASHLEY EHASZ(DEM),****
Horsham 3-5,Provisional,BRIAN FITZPATRICK(REP),****
Horsham 3-5,Total,ASHLEY EHASZ(DEM),358
Horsham 3-5,Total,BRIAN FITZPATRICK(REP),365
Horsham 4-1,Election Day,ASHLEY EHASZ(DEM),****
Horsham 4-1,Election Day,BRIAN FITZPATRICK(REP),****
Horsham 4-1,Mail-in,ASHLEY EHASZ(DEM),****
Horsham 4-1,Mail-in,BRIAN FITZPATRICK(REP),****
Horsham 4-1,Provisional,ASHLEY EHASZ(DEM),****
Horsham 4-1,Provisional,BRIAN FITZPATRICK(REP),****
Horsham 4-1,Total,ASHLEY EHASZ(DEM),238
Horsham 4-1,Total,BRIAN FITZPATRICK(REP),297
Horsham 4-2,Election Day,ASHLEY EHASZ(DEM),****
Horsham 4-2,Election Day,BRIAN FITZPATRICK(REP),****
Horsham 4-2,Mail-in,ASHLEY EHASZ(DEM),****
Horsham 4-2,Mail-in,BRIAN FITZPATRICK(REP),****
Horsham 4-2,Provisional,ASHLEY EHASZ(DEM),****
Horsham 4-2,Provisional,BRIAN FITZPATRICK(REP),****
Horsham 4-2,Total,ASHLEY EHASZ(DEM),381
Horsham 4-2,Total,BRIAN FITZPATRICK(REP),453
Horsham 4-3,Election Day,ASHLEY EHASZ(DEM),****
Horsham 4-3,Election Day,BRIAN FITZPATRICK(REP),****
Horsham 4-3,Mail-in,ASHLEY EHASZ(DEM),****
