0,1,2
Precinct,Times Cast,"Registered 
Voters"
Springfield 5-2,,
Election Day,432,652
Mail-in,143,652
Provisional,4,652
Total,579,652
Springfield 6-1,,
Election Day,577,885
Mail-in,203,885
Provisional,4,885
Total,784,885
Springfield 6-2,,
Election Day,689,"1,037"
Mail-in,234,"1,037"
Provisional,10,"1,037"
Total,933,"1,037"
Springfield 7-1,,
Election Day,453,810
Mail-in,263,810
Provisional,5,810
Total,721,810
Springfield 7-2,,
Election Day,644,"1,098"
Mail-in,327,"1,098"
Provisional,3,"1,098"
Total,974,"1,098"
Towamencin 1-1,,
Election Day,890,"1,703"
Mail-in,481,"1,703"
Provisional,12,"1,703"
Total,"1,383","1,703"
