0,1,2
Precinct,Times Cast,"Registered 
Voters"
Horsham 4-1,,
Election Day,664,"1,149"
Mail-in,317,"1,149"
Provisional,6,"1,149"
Total,987,"1,149"
Horsham 4-2,,
Election Day,526,"1,013"
Mail-in,318,"1,013"
Provisional,6,"1,013"
Total,850,"1,013"
Horsham 4-3,,
Election Day,317,610
Mail-in,189,610
Provisional,6,610
Total,512,610
Horsham 4-4,,
Election Day,535,"1,344"
Mail-in,378,"1,344"
Provisional,7,"1,344"
Total,920,"1,344"
Limerick 1,,
Election Day,"1,856","3,539"
Mail-in,"1,059","3,539"
Provisional,0,"3,539"
Total,"2,915","3,539"
Limerick 2,,
Election Day,"1,326","2,389"
Mail-in,689,"2,389"
Provisional,15,"2,389"
Total,"2,030","2,389"
