0,1,2
Precinct,Times Cast,"Registered 
Voters"
Lower Merion 5-1,,
Election Day,385,793
Mail-in,306,793
Provisional,4,793
Total,695,793
Lower Merion 5-2,,
Election Day,551,"1,150"
Mail-in,388,"1,150"
Provisional,6,"1,150"
Total,945,"1,150"
Lower Merion 5-3,,
Election Day,654,"1,665"
Mail-in,685,"1,665"
Provisional,8,"1,665"
Total,"1,347","1,665"
Lower Merion 6-1,,
Election Day,505,"1,144"
Mail-in,387,"1,144"
Provisional,7,"1,144"
Total,899,"1,144"
Lower Merion 6-2,,
Election Day,616,"1,196"
Mail-in,418,"1,196"
Provisional,13,"1,196"
Total,"1,047","1,196"
Lower Merion 6-3,,
Election Day,580,"1,318"
Mail-in,524,"1,318"
Provisional,2,"1,318"
Total,"1,106","1,318"
