0,1,2
Precinct,Times Cast,"Registered 
Voters"
Upper Dublin 4-3,,
Election Day,533,"1,049"
Mail-in,372,"1,049"
Provisional,3,"1,049"
Total,908,"1,049"
Upper Dublin 5-1,,
Election Day,484,974
Mail-in,358,974
Provisional,7,974
Total,849,974
Upper Dublin 5-2,,
Election Day,673,"1,191"
Mail-in,360,"1,191"
Provisional,17,"1,191"
Total,"1,050","1,191"
Upper Dublin 5-3,,
Election Day,696,"1,162"
Mail-in,323,"1,162"
Provisional,9,"1,162"
Total,"1,028","1,162"
Upper Dublin 6-1,,
Election Day,962,"1,718"
Mail-in,516,"1,718"
Provisional,12,"1,718"
Total,"1,490","1,718"
Upper Dublin 6-2,,
Election Day,648,"1,111"
Mail-in,345,"1,111"
Provisional,3,"1,111"
Total,996,"1,111"
