0,1,2
Precinct,Times Cast,"Registered 
Voters"
Perkiomen 2,,
Election Day,"1,805","3,382"
Mail-in,"1,082","3,382"
Provisional,23,"3,382"
Total,"2,910","3,382"
Plymouth 1-1,,
Election Day,896,"1,584"
Mail-in,381,"1,584"
Provisional,17,"1,584"
Total,"1,294","1,584"
Plymouth 1-2,,
Election Day,966,"1,731"
Mail-in,439,"1,731"
Provisional,9,"1,731"
Total,"1,414","1,731"
Plymouth 2-1,,
Election Day,479,738
Mail-in,168,738
Provisional,0,738
Total,647,738
Plymouth 2-2,,
Election Day,643,"1,049"
Mail-in,253,"1,049"
Provisional,1,"1,049"
Total,897,"1,049"
Plymouth 2-3,,
Election Day,782,"1,369"
Mail-in,318,"1,369"
Provisional,9,"1,369"
Total,"1,109","1,369"
