0,1,2
Precinct,Times Cast,"Registered 
Voters"
Cheltenham 5-1,,
Election Day,516,918
Mail-in,248,918
Provisional,11,918
Total,775,918
Cheltenham 5-2,,
Election Day,511,836
Mail-in,203,836
Provisional,2,836
Total,716,836
Cheltenham 5-3,,
Election Day,462,883
Mail-in,244,883
Provisional,10,883
Total,716,883
Cheltenham 5-4,,
Election Day,644,"1,079"
Mail-in,215,"1,079"
Provisional,1,"1,079"
Total,860,"1,079"
Cheltenham 6-1,,
Election Day,877,"1,785"
Mail-in,641,"1,785"
Provisional,18,"1,785"
Total,"1,536","1,785"
Cheltenham 6-2,,
Election Day,656,"1,361"
Mail-in,372,"1,361"
Provisional,8,"1,361"
Total,"1,036","1,361"
