0,1,2
Precinct,Times Cast,"Registered 
Voters"
Skippack 2,,
Election Day,"1,470","2,894"
Mail-in,"1,004","2,894"
Provisional,22,"2,894"
Total,"2,496","2,894"
Skippack 3,,
Election Day,"1,434","2,958"
Mail-in,"1,140","2,958"
Provisional,12,"2,958"
Total,"2,586","2,958"
Springfield 1-1,,
Election Day,557,"1,555"
Mail-in,634,"1,555"
Provisional,9,"1,555"
Total,"1,200","1,555"
Springfield 1-2,,
Election Day,981,"1,581"
Mail-in,427,"1,581"
Provisional,11,"1,581"
Total,"1,419","1,581"
Springfield 2-1,,
Election Day,585,"1,031"
Mail-in,272,"1,031"
Provisional,15,"1,031"
Total,872,"1,031"
Springfield 2-2,,
Election Day,562,913
Mail-in,235,913
Provisional,5,913
Total,802,913
