0,1,2
Precinct,Times Cast,"Registered 
Voters"
Abington 10-3,,
Election Day,578,928
Mail-in,215,928
Provisional,8,928
Total,801,928
Abington 11-1,,
Election Day,339,613
Mail-in,161,613
Provisional,0,613
Total,500,613
Abington 11-2,,
Election Day,533,832
Mail-in,200,832
Provisional,5,832
Total,738,832
Abington 11-3,,
Election Day,688,"1,248"
Mail-in,297,"1,248"
Provisional,9,"1,248"
Total,994,"1,248"
Abington 12-1,,
Election Day,674,"1,038"
Mail-in,259,"1,038"
Provisional,3,"1,038"
Total,936,"1,038"
Abington 12-2,,
Election Day,604,932
Mail-in,201,932
Provisional,6,932
Total,811,932
