0,1,2
Precinct,Times Cast,"Registered 
Voters"
Norristown 1-2,,
Election Day,628,"1,352"
Mail-in,225,"1,352"
Provisional,17,"1,352"
Total,870,"1,352"
Norristown 1-3,,
Election Day,691,"1,361"
Mail-in,230,"1,361"
Provisional,13,"1,361"
Total,934,"1,361"
Norristown 2-1,,
Election Day,523,"1,249"
Mail-in,178,"1,249"
Provisional,10,"1,249"
Total,711,"1,249"
Norristown 2-2,,
Election Day,382,981
Mail-in,105,981
Provisional,9,981
Total,496,981
Norristown 2-3,,
Election Day,468,"1,321"
Mail-in,119,"1,321"
Provisional,13,"1,321"
Total,600,"1,321"
Norristown 3-1,,
Election Day,919,"1,870"
Mail-in,365,"1,870"
Provisional,29,"1,870"
Total,"1,313","1,870"
