0,1,2
Precinct,Times Cast,"Registered 
Voters"
Lower Moreland 5,,
Election Day,"1,026","1,831"
Mail-in,491,"1,831"
Provisional,17,"1,831"
Total,"1,534","1,831"
Lower Moreland 6,,
Election Day,885,"1,551"
Mail-in,418,"1,551"
Provisional,10,"1,551"
Total,"1,313","1,551"
Lower Pottsgrove 1,,
Election Day,"1,008","1,619"
Mail-in,357,"1,619"
Provisional,1,"1,619"
Total,"1,366","1,619"
Lower Pottsgrove 2,,
Election Day,"1,758","3,598"
Mail-in,"1,091","3,598"
Provisional,48,"3,598"
Total,"2,897","3,598"
Lower Pottsgrove 3,,
Election Day,"1,058","1,759"
Mail-in,358,"1,759"
Provisional,14,"1,759"
Total,"1,430","1,759"
Lower Pottsgrove 4,,
Election Day,"1,263","2,312"
Mail-in,630,"2,312"
Provisional,26,"2,312"
Total,"1,919","2,312"
