precinct,method,candidate,votes
Whitemarsh East 2,Election Day,ROBERT COWBURN(LIB),****
Whitemarsh East 2,Election Day,RICHARD L WEISS(GRE),****
Whitemarsh East 2,Election Day,JUSTIN L MAGILL(CON),****
Whitemarsh East 2,Election Day,ERIC L SETTLE(FOR),****
Whitemarsh East 2,Election Day,UnresolvedWrite-In,****
Whitemarsh East 2,Mail-in,ROBERT COWBURN(LIB),****
Whitemarsh East 2,Mail-in,RICHARD L WEISS(GRE),****
Whitemarsh East 2,Mail-in,JUSTIN L MAGILL(CON),****
Whitemarsh East 2,Mail-in,ERIC L SETTLE(FOR),****
Whitemarsh East 2,Mail-in,UnresolvedWrite-In,****
Whitemarsh East 2,Provisional,ROBERT COWBURN(LIB),****
Whitemarsh East 2,Provisional,RICHARD L WEISS(GRE),****
Whitemarsh East 2,Provisional,JUSTIN L MAGILL(CON),****
Whitemarsh East 2,Provisional,ERIC L SETTLE(FOR),****
Whitemarsh East 2,Provisional,UnresolvedWrite-In,****
Whitemarsh East 2,Total,ROBERT COWBURN(LIB),18
Whitemarsh East 2,Total,RICHARD L WEISS(GRE),12
Whitemarsh East 2,Total,JUSTIN L MAGILL(CON),0
Whitemarsh East 2,Total,ERIC L SETTLE(FOR),3
Whitemarsh East 2,Total,UnresolvedWrite-In,1
Whitemarsh Middle 1,Election Day,ROBERT COWBURN(LIB),10
Whitemarsh Middle 1,Election Day,RICHARD L WEISS(GRE),6
Whitemarsh Middle 1,Election Day,JUSTIN L MAGILL(CON),2
Whitemarsh Middle 1,Election Day,ERIC L SETTLE(FOR),2
Whitemarsh Middle 1,Election Day,UnresolvedWrite-In,0
Whitemarsh Middle 1,Mail-in,ROBERT COWBURN(LIB),3
Whitemarsh Middle 1,Mail-in,RICHARD L WEISS(GRE),4
Whitemarsh Middle 1,Mail-in,JUSTIN L MAGILL(CON),2
Whitemarsh Middle 1,Mail-in,ERIC L SETTLE(FOR),1
Whitemarsh Middle 1,Mail-in,UnresolvedWrite-In,0
Whitemarsh Middle 1,Provisional,ROBERT COWBURN(LIB),1
Whitemarsh Middle 1,Provisional,RICHARD L WEISS(GRE),1
Whitemarsh Middle 1,Provisional,JUSTIN L MAGILL(CON),0
Whitemarsh Middle 1,Provisional,ERIC L SETTLE(FOR),1
Whitemarsh Middle 1,Provisional,UnresolvedWrite-In,0
Whitemarsh Middle 1,Total,ROBERT COWBURN(LIB),14
Whitemarsh Middle 1,Total,RICHARD L WEISS(GRE),11
Whitemarsh Middle 1,Total,JUSTIN L MAGILL(CON),4
Whitemarsh Middle 1,Total,ERIC L SETTLE(FOR),4
Whitemarsh Middle 1,Total,UnresolvedWrite-In,0
Whitemarsh Middle 2,Election Day,ROBERT COWBURN(LIB),5
Whitemarsh Middle 2,Election Day,RICHARD L WEISS(GRE),3
Whitemarsh Middle 2,Election Day,JUSTIN L MAGILL(CON),2
Whitemarsh Middle 2,Election Day,ERIC L SETTLE(FOR),3
Whitemarsh Middle 2,Election Day,UnresolvedWrite-In,0
Whitemarsh Middle 2,Mail-in,ROBERT COWBURN(LIB),2
Whitemarsh Middle 2,Mail-in,RICHARD L WEISS(GRE),4
Whitemarsh Middle 2,Mail-in,JUSTIN L MAGILL(CON),0
Whitemarsh Middle 2,Mail-in,ERIC L SETTLE(FOR),0
Whitemarsh Middle 2,Mail-in,UnresolvedWrite-In,0
Whitemarsh Middle 2,Provisional,ROBERT COWBURN(LIB),0
Whitemarsh Middle 2,Provisional,RICHARD L WEISS(GRE),0
Whitemarsh Middle 2,Provisional,JUSTIN L MAGILL(CON),0
Whitemarsh Middle 2,Provisional,ERIC L SETTLE(FOR),0
Whitemarsh Middle 2,Provisional,UnresolvedWrite-In,0
Whitemarsh Middle 2,Total,ROBERT COWBURN(LIB),7
Whitemarsh Middle 2,Total,RICHARD L WEISS(GRE),7
Whitemarsh Middle 2,Total,JUSTIN L MAGILL(CON),2
Whitemarsh Middle 2,Total,ERIC L SETTLE(FOR),3
Whitemarsh Middle 2,Total,UnresolvedWrite-In,0
Whitemarsh Middle 3,Election Day,ROBERT COWBURN(LIB),****
Whitemarsh Middle 3,Election Day,RICHARD L WEISS(GRE),****
Whitemarsh Middle 3,Election Day,JUSTIN L MAGILL(CON),****
Whitemarsh Middle 3,Election Day,ERIC L SETTLE(FOR),****
Whitemarsh Middle 3,Election Day,UnresolvedWrite-In,****
Whitemarsh Middle 3,Mail-in,ROBERT COWBURN(LIB),****
Whitemarsh Middle 3,Mail-in,RICHARD L WEISS(GRE),****
Whitemarsh Middle 3,Mail-in,JUSTIN L MAGILL(CON),****
Whitemarsh Middle 3,Mail-in,ERIC L SETTLE(FOR),****
Whitemarsh Middle 3,Mail-in,UnresolvedWrite-In,****
Whitemarsh Middle 3,Provisional,ROBERT COWBURN(LIB),****
Whitemarsh Middle 3,Provisional,RICHARD L WEISS(GRE),****
Whitemarsh Middle 3,Provisional,JUSTIN L MAGILL(CON),****
Whitemarsh Middle 3,Provisional,ERIC L SETTLE(FOR),****
Whitemarsh Middle 3,Provisional,UnresolvedWrite-In,****
Whitemarsh Middle 3,Total,ROBERT COWBURN(LIB),10
Whitemarsh Middle 3,Total,RICHARD L WEISS(GRE),8
Whitemarsh Middle 3,Total,JUSTIN L MAGILL(CON),4
Whitemarsh Middle 3,Total,ERIC L SETTLE(FOR),3
Whitemarsh Middle 3,Total,UnresolvedWrite-In,1
Whitemarsh Middle 4,Election Day,ROBERT COWBURN(LIB),****
Whitemarsh Middle 4,Election Day,RICHARD L WEISS(GRE),****
Whitemarsh Middle 4,Election Day,JUSTIN L MAGILL(CON),****
Whitemarsh Middle 4,Election Day,ERIC L SETTLE(FOR),****
Whitemarsh Middle 4,Election Day,UnresolvedWrite-In,****
Whitemarsh Middle 4,Mail-in,ROBERT COWBURN(LIB),****
Whitemarsh Middle 4,Mail-in,RICHARD L WEISS(GRE),****
Whitemarsh Middle 4,Mail-in,JUSTIN L MAGILL(CON),****
Whitemarsh Middle 4,Mail-in,ERIC L SETTLE(FOR),****
Whitemarsh Middle 4,Mail-in,UnresolvedWrite-In,****
Whitemarsh Middle 4,Provisional,ROBERT COWBURN(LIB),****
Whitemarsh Middle 4,Provisional,RICHARD L WEISS(GRE),****
Whitemarsh Middle 4,Provisional,JUSTIN L MAGILL(CON),****
Whitemarsh Middle 4,Provisional,ERIC L SETTLE(FOR),****
Whitemarsh Middle 4,Provisional,UnresolvedWrite-In,****
Whitemarsh Middle 4,Total,ROBERT COWBURN(LIB),10
Whitemarsh Middle 4,Total,RICHARD L WEISS(GRE),18
Whitemarsh Middle 4,Total,JUSTIN L MAGILL(CON),3
Whitemarsh Middle 4,Total,ERIC L SETTLE(FOR),1
Whitemarsh Middle 4,Total,UnresolvedWrite-In,0
Whitemarsh Middle 5,Election Day,ROBERT COWBURN(LIB),****
Whitemarsh Middle 5,Election Day,RICHARD L WEISS(GRE),****
Whitemarsh Middle 5,Election Day,JUSTIN L MAGILL(CON),****
Whitemarsh Middle 5,Election Day,ERIC L SETTLE(FOR),****
Whitemarsh Middle 5,Election Day,UnresolvedWrite-In,****
