precinct,method,candidate,votes
Hatfield Borough,Election Day,EUGENE DEPASQUALE(DEM),****
Hatfield Borough,Election Day,DAVE SUNDAY(REP),****
Hatfield Borough,Mail-in,EUGENE DEPASQUALE(DEM),****
Hatfield Borough,Mail-in,DAVE SUNDAY(REP),****
Hatfield Borough,Provisional,EUGENE DEPASQUALE(DEM),****
Hatfield Borough,Provisional,DAVE SUNDAY(REP),****
Hatfield Borough,Total,EUGENE DEPASQUALE(DEM),782
Hatfield Borough,Total,DAVE SUNDAY(REP),764
Jenkintown 1,Election Day,EUGENE DEPASQUALE(DEM),****
Jenkintown 1,Election Day,DAVE SUNDAY(REP),****
Jenkintown 1,Mail-in,EUGENE DEPASQUALE(DEM),****
Jenkintown 1,Mail-in,DAVE SUNDAY(REP),****
Jenkintown 1,Provisional,EUGENE DEPASQUALE(DEM),****
Jenkintown 1,Provisional,DAVE SUNDAY(REP),****
Jenkintown 1,Total,EUGENE DEPASQUALE(DEM),564
Jenkintown 1,Total,DAVE SUNDAY(REP),203
Jenkintown 2,Election Day,EUGENE DEPASQUALE(DEM),****
Jenkintown 2,Election Day,DAVE SUNDAY(REP),****
Jenkintown 2,Mail-in,EUGENE DEPASQUALE(DEM),****
Jenkintown 2,Mail-in,DAVE SUNDAY(REP),****
Jenkintown 2,Provisional,EUGENE DEPASQUALE(DEM),****
Jenkintown 2,Provisional,DAVE SUNDAY(REP),****
Jenkintown 2,Total,EUGENE DEPASQUALE(DEM),542
Jenkintown 2,Total,DAVE SUNDAY(REP),172
Jenkintown 3,Election Day,EUGENE DEPASQUALE(DEM),****
Jenkintown 3,Election Day,DAVE SUNDAY(REP),****
Jenkintown 3,Mail-in,EUGENE DEPASQUALE(DEM),****
Jenkintown 3,Mail-in,DAVE SUNDAY(REP),****
Jenkintown 3,Provisional,EUGENE DEPASQUALE(DEM),****
Jenkintown 3,Provisional,DAVE SUNDAY(REP),****
Jenkintown 3,Total,EUGENE DEPASQUALE(DEM),543
Jenkintown 3,Total,DAVE SUNDAY(REP),166
Jenkintown 4,Election Day,EUGENE DEPASQUALE(DEM),446
Jenkintown 4,Election Day,DAVE SUNDAY(REP),139
Jenkintown 4,Mail-in,EUGENE DEPASQUALE(DEM),175
Jenkintown 4,Mail-in,DAVE SUNDAY(REP),49
Jenkintown 4,Provisional,EUGENE DEPASQUALE(DEM),10
Jenkintown 4,Provisional,DAVE SUNDAY(REP),3
Jenkintown 4,Total,EUGENE DEPASQUALE(DEM),631
Jenkintown 4,Total,DAVE SUNDAY(REP),191
Lansdale 1-1,Election Day,EUGENE DEPASQUALE(DEM),424
Lansdale 1-1,Election Day,DAVE SUNDAY(REP),297
Lansdale 1-1,Mail-in,EUGENE DEPASQUALE(DEM),211
Lansdale 1-1,Mail-in,DAVE SUNDAY(REP),53
Lansdale 1-1,Provisional,EUGENE DEPASQUALE(DEM),7
Lansdale 1-1,Provisional,DAVE SUNDAY(REP),5
Lansdale 1-1,Total,EUGENE DEPASQUALE(DEM),642
Lansdale 1-1,Total,DAVE SUNDAY(REP),355
