precinct,method,candidate,votes
Hatfield 4-1,Election Day,ROBERT COWBURN(LIB),7
Hatfield 4-1,Election Day,RICHARD L WEISS(GRE),13
Hatfield 4-1,Election Day,JUSTIN L MAGILL(CON),5
Hatfield 4-1,Election Day,ERIC L SETTLE(FOR),1
Hatfield 4-1,Election Day,UnresolvedWrite-In,0
Hatfield 4-1,Mail-in,ROBERT COWBURN(LIB),3
Hatfield 4-1,Mail-in,RICHARD L WEISS(GRE),4
Hatfield 4-1,Mail-in,JUSTIN L MAGILL(CON),0
Hatfield 4-1,Mail-in,ERIC L SETTLE(FOR),0
Hatfield 4-1,Mail-in,UnresolvedWrite-In,0
Hatfield 4-1,Provisional,ROBERT COWBURN(LIB),1
Hatfield 4-1,Provisional,RICHARD L WEISS(GRE),1
Hatfield 4-1,Provisional,JUSTIN L MAGILL(CON),0
Hatfield 4-1,Provisional,ERIC L SETTLE(FOR),0
Hatfield 4-1,Provisional,UnresolvedWrite-In,0
Hatfield 4-1,Total,ROBERT COWBURN(LIB),11
Hatfield 4-1,Total,RICHARD L WEISS(GRE),18
Hatfield 4-1,Total,JUSTIN L MAGILL(CON),5
Hatfield 4-1,Total,ERIC L SETTLE(FOR),1
Hatfield 4-1,Total,UnresolvedWrite-In,0
Hatfield 4-2,Election Day,ROBERT COWBURN(LIB),****
Hatfield 4-2,Election Day,RICHARD L WEISS(GRE),****
Hatfield 4-2,Election Day,JUSTIN L MAGILL(CON),****
Hatfield 4-2,Election Day,ERIC L SETTLE(FOR),****
Hatfield 4-2,Election Day,UnresolvedWrite-In,****
Hatfield 4-2,Mail-in,ROBERT COWBURN(LIB),****
Hatfield 4-2,Mail-in,RICHARD L WEISS(GRE),****
Hatfield 4-2,Mail-in,JUSTIN L MAGILL(CON),****
Hatfield 4-2,Mail-in,ERIC L SETTLE(FOR),****
Hatfield 4-2,Mail-in,UnresolvedWrite-In,****
Hatfield 4-2,Provisional,ROBERT COWBURN(LIB),****
Hatfield 4-2,Provisional,RICHARD L WEISS(GRE),****
Hatfield 4-2,Provisional,JUSTIN L MAGILL(CON),****
Hatfield 4-2,Provisional,ERIC L SETTLE(FOR),****
Hatfield 4-2,Provisional,UnresolvedWrite-In,****
Hatfield 4-2,Total,ROBERT COWBURN(LIB),18
Hatfield 4-2,Total,RICHARD L WEISS(GRE),13
Hatfield 4-2,Total,JUSTIN L MAGILL(CON),3
Hatfield 4-2,Total,ERIC L SETTLE(FOR),4
Hatfield 4-2,Total,UnresolvedWrite-In,2
Hatfield 5-1,Election Day,ROBERT COWBURN(LIB),****
Hatfield 5-1,Election Day,RICHARD L WEISS(GRE),****
