precinct,method,candidate,votes
Pottstown 2-2,Election Day,EUGENE DEPASQUALE(DEM),****
Pottstown 2-2,Election Day,DAVE SUNDAY(REP),****
Pottstown 2-2,Mail-in,EUGENE DEPASQUALE(DEM),****
Pottstown 2-2,Mail-in,DAVE SUNDAY(REP),****
Pottstown 2-2,Provisional,EUGENE DEPASQUALE(DEM),****
Pottstown 2-2,Provisional,DAVE SUNDAY(REP),****
Pottstown 2-2,Total,EUGENE DEPASQUALE(DEM),433
Pottstown 2-2,Total,DAVE SUNDAY(REP),266
Pottstown 3,Election Day,EUGENE DEPASQUALE(DEM),551
Pottstown 3,Election Day,DAVE SUNDAY(REP),481
Pottstown 3,Mail-in,EUGENE DEPASQUALE(DEM),313
Pottstown 3,Mail-in,DAVE SUNDAY(REP),132
Pottstown 3,Provisional,EUGENE DEPASQUALE(DEM),0
Pottstown 3,Provisional,DAVE SUNDAY(REP),0
Pottstown 3,Total,EUGENE DEPASQUALE(DEM),864
Pottstown 3,Total,DAVE SUNDAY(REP),613
Pottstown 4,Election Day,EUGENE DEPASQUALE(DEM),480
Pottstown 4,Election Day,DAVE SUNDAY(REP),495
Pottstown 4,Mail-in,EUGENE DEPASQUALE(DEM),275
Pottstown 4,Mail-in,DAVE SUNDAY(REP),142
Pottstown 4,Provisional,EUGENE DEPASQUALE(DEM),8
Pottstown 4,Provisional,DAVE SUNDAY(REP),3
Pottstown 4,Total,EUGENE DEPASQUALE(DEM),763
Pottstown 4,Total,DAVE SUNDAY(REP),640
Pottstown 5,Election Day,EUGENE DEPASQUALE(DEM),510
Pottstown 5,Election Day,DAVE SUNDAY(REP),413
Pottstown 5,Mail-in,EUGENE DEPASQUALE(DEM),249
Pottstown 5,Mail-in,DAVE SUNDAY(REP),113
Pottstown 5,Provisional,EUGENE DEPASQUALE(DEM),9
Pottstown 5,Provisional,DAVE SUNDAY(REP),3
Pottstown 5,Total,EUGENE DEPASQUALE(DEM),768
Pottstown 5,Total,DAVE SUNDAY(REP),529
Pottstown 6,Election Day,EUGENE DEPASQUALE(DEM),591
Pottstown 6,Election Day,DAVE SUNDAY(REP),552
Pottstown 6,Mail-in,EUGENE DEPASQUALE(DEM),301
Pottstown 6,Mail-in,DAVE SUNDAY(REP),100
Pottstown 6,Provisional,EUGENE DEPASQUALE(DEM),0
Pottstown 6,Provisional,DAVE SUNDAY(REP),0
Pottstown 6,Total,EUGENE DEPASQUALE(DEM),892
Pottstown 6,Total,DAVE SUNDAY(REP),652
Pottstown 7-1,Election Day,EUGENE DEPASQUALE(DEM),501
Pottstown 7-1,Election Day,DAVE SUNDAY(REP),175
Pottstown 7-1,Mail-in,EUGENE DEPASQUALE(DEM),186
Pottstown 7-1,Mail-in,DAVE SUNDAY(REP),42
Pottstown 7-1,Provisional,EUGENE DEPASQUALE(DEM),10
Pottstown 7-1,Provisional,DAVE SUNDAY(REP),5
Pottstown 7-1,Total,EUGENE DEPASQUALE(DEM),697
Pottstown 7-1,Total,DAVE SUNDAY(REP),222
