precinct,method,candidate,votes
Lower Merion 5-1,Election Day,EUGENE DEPASQUALE(DEM),****
Lower Merion 5-1,Election Day,DAVE SUNDAY(REP),****
Lower Merion 5-1,Mail-in,EUGENE DEPASQUALE(DEM),****
Lower Merion 5-1,Mail-in,DAVE SUNDAY(REP),****
Lower Merion 5-1,Provisional,EUGENE DEPASQUALE(DEM),****
Lower Merion 5-1,Provisional,DAVE SUNDAY(REP),****
Lower Merion 5-1,Total,EUGENE DEPASQUALE(DEM),553
Lower Merion 5-1,Total,DAVE SUNDAY(REP),119
Lower Merion 5-2,Election Day,EUGENE DEPASQUALE(DEM),****
Lower Merion 5-2,Election Day,DAVE SUNDAY(REP),****
Lower Merion 5-2,Mail-in,EUGENE DEPASQUALE(DEM),****
Lower Merion 5-2,Mail-in,DAVE SUNDAY(REP),****
Lower Merion 5-2,Provisional,EUGENE DEPASQUALE(DEM),****
Lower Merion 5-2,Provisional,DAVE SUNDAY(REP),****
Lower Merion 5-2,Total,EUGENE DEPASQUALE(DEM),701
Lower Merion 5-2,Total,DAVE SUNDAY(REP),208
Lower Merion 5-3,Election Day,EUGENE DEPASQUALE(DEM),****
Lower Merion 5-3,Election Day,DAVE SUNDAY(REP),****
Lower Merion 5-3,Mail-in,EUGENE DEPASQUALE(DEM),****
Lower Merion 5-3,Mail-in,DAVE SUNDAY(REP),****
Lower Merion 5-3,Provisional,EUGENE DEPASQUALE(DEM),****
Lower Merion 5-3,Provisional,DAVE SUNDAY(REP),****
Lower Merion 5-3,Total,EUGENE DEPASQUALE(DEM),967
Lower Merion 5-3,Total,DAVE SUNDAY(REP),336
Lower Merion 6-1,Election Day,EUGENE DEPASQUALE(DEM),****
Lower Merion 6-1,Election Day,DAVE SUNDAY(REP),****
Lower Merion 6-1,Mail-in,EUGENE DEPASQUALE(DEM),****
Lower Merion 6-1,Mail-in,DAVE SUNDAY(REP),****
Lower Merion 6-1,Provisional,EUGENE DEPASQUALE(DEM),****
Lower Merion 6-1,Provisional,DAVE SUNDAY(REP),****
Lower Merion 6-1,Total,EUGENE DEPASQUALE(DEM),546
Lower Merion 6-1,Total,DAVE SUNDAY(REP),317
Lower Merion 6-2,Election Day,EUGENE DEPASQUALE(DEM),357
Lower Merion 6-2,Election Day,DAVE SUNDAY(REP),234
Lower Merion 6-2,Mail-in,EUGENE DEPASQUALE(DEM),288
Lower Merion 6-2,Mail-in,DAVE SUNDAY(REP),115
Lower Merion 6-2,Provisional,EUGENE DEPASQUALE(DEM),7
Lower Merion 6-2,Provisional,DAVE SUNDAY(REP),4
Lower Merion 6-2,Total,EUGENE DEPASQUALE(DEM),652
Lower Merion 6-2,Total,DAVE SUNDAY(REP),353
Lower Merion 6-3,Election Day,EUGENE DEPASQUALE(DEM),****
Lower Merion 6-3,Election Day,DAVE SUNDAY(REP),****
Lower Merion 6-3,Mail-in,EUGENE DEPASQUALE(DEM),****
Lower Merion 6-3,Mail-in,DAVE SUNDAY(REP),****
Lower Merion 6-3,Provisional,EUGENE DEPASQUALE(DEM),****
Lower Merion 6-3,Provisional,DAVE SUNDAY(REP),****
Lower Merion 6-3,Total,EUGENE DEPASQUALE(DEM),635
Lower Merion 6-3,Total,DAVE SUNDAY(REP),429
