0,1,2
Precinct,Times Cast,"Registered 
Voters"
Springfield 5-2,,
Election Day,432,652
Mail-in,145,652
Provisional,4,652
Total,581,652
Springfield 6-1,,
Election Day,577,885
Mail-in,207,885
Provisional,4,885
Total,788,885
Springfield 6-2,,
Election Day,689,"1,037"
Mail-in,235,"1,037"
Provisional,10,"1,037"
Total,934,"1,037"
Springfield 7-1,,
Election Day,453,810
Mail-in,265,810
Provisional,5,810
Total,723,810
Springfield 7-2,,
Election Day,644,"1,098"
Mail-in,329,"1,098"
Provisional,3,"1,098"
Total,976,"1,098"
Towamencin 1-1,,
Election Day,890,"1,703"
Mail-in,485,"1,703"
Provisional,12,"1,703"
Total,"1,387","1,703"
