0,1,2
Precinct,Times Cast,"Registered 
Voters"
Towamencin 1-2,,
Election Day,667,"1,146"
Mail-in,305,"1,146"
Provisional,6,"1,146"
Total,978,"1,146"
Towamencin 1-3,,
Election Day,869,"1,664"
Mail-in,551,"1,664"
Provisional,14,"1,664"
Total,"1,434","1,664"
Towamencin 2-1,,
Election Day,868,"1,491"
Mail-in,408,"1,491"
Provisional,18,"1,491"
Total,"1,294","1,491"
Towamencin 2-2,,
Election Day,862,"1,491"
Mail-in,421,"1,491"
Provisional,9,"1,491"
Total,"1,292","1,491"
Towamencin 2-3,,
Election Day,957,"1,436"
Mail-in,337,"1,436"
Provisional,16,"1,436"
Total,"1,310","1,436"
Towamencin 3-1,,
Election Day,"1,007","2,189"
Mail-in,818,"2,189"
Provisional,19,"2,189"
Total,"1,844","2,189"
