precinct,method,candidate,votes
Pottstown 1-1,Election Day,MADELEINE DEAN(DEM),338
Pottstown 1-1,Election Day,DAVID WINKLER(REP),157
Pottstown 1-1,Mail-in,MADELEINE DEAN(DEM),113
Pottstown 1-1,Mail-in,DAVID WINKLER(REP),32
Pottstown 1-1,Provisional,MADELEINE DEAN(DEM),10
Pottstown 1-1,Provisional,DAVID WINKLER(REP),3
Pottstown 1-1,Total,MADELEINE DEAN(DEM),461
Pottstown 1-1,Total,DAVID WINKLER(REP),192
Pottstown 1-2,Election Day,MADELEINE DEAN(DEM),212
Pottstown 1-2,Election Day,DAVID WINKLER(REP),87
Pottstown 1-2,Mail-in,MADELEINE DEAN(DEM),104
Pottstown 1-2,Mail-in,DAVID WINKLER(REP),17
Pottstown 1-2,Provisional,MADELEINE DEAN(DEM),9
Pottstown 1-2,Provisional,DAVID WINKLER(REP),2
Pottstown 1-2,Total,MADELEINE DEAN(DEM),325
Pottstown 1-2,Total,DAVID WINKLER(REP),106
Pottstown 2-1,Election Day,MADELEINE DEAN(DEM),374
Pottstown 2-1,Election Day,DAVID WINKLER(REP),159
Pottstown 2-1,Mail-in,MADELEINE DEAN(DEM),138
Pottstown 2-1,Mail-in,DAVID WINKLER(REP),26
Pottstown 2-1,Provisional,MADELEINE DEAN(DEM),11
Pottstown 2-1,Provisional,DAVID WINKLER(REP),0
Pottstown 2-1,Total,MADELEINE DEAN(DEM),523
Pottstown 2-1,Total,DAVID WINKLER(REP),185
Pottstown 2-2,Election Day,MADELEINE DEAN(DEM),****
Pottstown 2-2,Election Day,DAVID WINKLER(REP),****
Pottstown 2-2,Mail-in,MADELEINE DEAN(DEM),****
Pottstown 2-2,Mail-in,DAVID WINKLER(REP),****
Pottstown 2-2,Provisional,MADELEINE DEAN(DEM),****
Pottstown 2-2,Provisional,DAVID WINKLER(REP),****
Pottstown 2-2,Total,MADELEINE DEAN(DEM),461
Pottstown 2-2,Total,DAVID WINKLER(REP),252
Pottstown 3,Election Day,MADELEINE DEAN(DEM),593
Pottstown 3,Election Day,DAVID WINKLER(REP),450
Pottstown 3,Mail-in,MADELEINE DEAN(DEM),347
Pottstown 3,Mail-in,DAVID WINKLER(REP),113
Pottstown 3,Provisional,MADELEINE DEAN(DEM),0
Pottstown 3,Provisional,DAVID WINKLER(REP),0
Pottstown 3,Total,MADELEINE DEAN(DEM),940
Pottstown 3,Total,DAVID WINKLER(REP),563
Pottstown 4,Election Day,MADELEINE DEAN(DEM),540
Pottstown 4,Election Day,DAVID WINKLER(REP),476
Pottstown 4,Mail-in,MADELEINE DEAN(DEM),302
Pottstown 4,Mail-in,DAVID WINKLER(REP),128
Pottstown 4,Provisional,MADELEINE DEAN(DEM),8
Pottstown 4,Provisional,DAVID WINKLER(REP),4
Pottstown 4,Total,MADELEINE DEAN(DEM),850
Pottstown 4,Total,DAVID WINKLER(REP),608
