precinct,method,candidate,votes
Plymouth 2-2,Election Day,UnresolvedWrite-In,****
Plymouth 2-2,Mail-in,UnresolvedWrite-In,****
Plymouth 2-2,Provisional,UnresolvedWrite-In,****
Plymouth 2-2,Total,UnresolvedWrite-In,0
Plymouth 2-3,Election Day,UnresolvedWrite-In,****
Plymouth 2-3,Mail-in,UnresolvedWrite-In,****
Plymouth 2-3,Provisional,UnresolvedWrite-In,****
Plymouth 2-3,Total,UnresolvedWrite-In,2
Plymouth 3-1,Election Day,UnresolvedWrite-In,****
Plymouth 3-1,Mail-in,UnresolvedWrite-In,****
Plymouth 3-1,Provisional,UnresolvedWrite-In,****
Plymouth 3-1,Total,UnresolvedWrite-In,2
Plymouth 3-2,Election Day,UnresolvedWrite-In,****
Plymouth 3-2,Mail-in,UnresolvedWrite-In,****
Plymouth 3-2,Provisional,UnresolvedWrite-In,****
Plymouth 3-2,Total,UnresolvedWrite-In,2
Plymouth 3-3,Election Day,UnresolvedWrite-In,****
Plymouth 3-3,Mail-in,UnresolvedWrite-In,****
Plymouth 3-3,Provisional,UnresolvedWrite-In,****
Plymouth 3-3,Total,UnresolvedWrite-In,2
Plymouth 4-1,Election Day,UnresolvedWrite-In,****
Plymouth 4-1,Mail-in,UnresolvedWrite-In,****
Plymouth 4-1,Provisional,UnresolvedWrite-In,****
Plymouth 4-1,Total,UnresolvedWrite-In,0
