precinct,method,candidate,votes
Collegeville 2,Election Day,UnresolvedWrite-In,1
Collegeville 2,Mail-in,UnresolvedWrite-In,0
Collegeville 2,Provisional,UnresolvedWrite-In,0
Collegeville 2,Total,UnresolvedWrite-In,1
Collegeville 3,Election Day,UnresolvedWrite-In,1
Collegeville 3,Mail-in,UnresolvedWrite-In,0
Collegeville 3,Provisional,UnresolvedWrite-In,0
Collegeville 3,Total,UnresolvedWrite-In,1
Conshohocken 1,Election Day,UnresolvedWrite-In,4
Conshohocken 1,Mail-in,UnresolvedWrite-In,0
Conshohocken 1,Provisional,UnresolvedWrite-In,0
Conshohocken 1,Total,UnresolvedWrite-In,4
Conshohocken 2,Election Day,UnresolvedWrite-In,****
Conshohocken 2,Mail-in,UnresolvedWrite-In,****
Conshohocken 2,Provisional,UnresolvedWrite-In,****
Conshohocken 2,Total,UnresolvedWrite-In,0
Conshohocken 3,Election Day,UnresolvedWrite-In,2
Conshohocken 3,Mail-in,UnresolvedWrite-In,0
Conshohocken 3,Provisional,UnresolvedWrite-In,0
Conshohocken 3,Total,UnresolvedWrite-In,2
Conshohocken 4,Election Day,UnresolvedWrite-In,4
Conshohocken 4,Mail-in,UnresolvedWrite-In,1
Conshohocken 4,Provisional,UnresolvedWrite-In,0
Conshohocken 4,Total,UnresolvedWrite-In,5
