election,state,county,precinct,office,candidate,party,vote_mode,votes,writein,result_status,source_url,source_filename,datetime_retrieved
2024 GENERAL,PENNSYLVANIA,CARBON COUNTY,Lehigh Township,ATTORNEY GENERAL,ROBERT COWBURN,LIB,,6,no,OFFICIAL,https://cms5.revize.com/revize/carboncounty/Document%20Center/Service/Elections%20Voter%20Registration/2024%20General%20Results/StatementOfVotesCastRPT.pdf,races\Attorney_General\attorney_general.csv,12/1/2024 09:12 PM
2024 GENERAL,PENNSYLVANIA,CARBON COUNTY,Lehighton Borough - First Ward,ATTORNEY GENERAL,DAVE SUNDAY,REP,,500,no,OFFICIAL,https://cms5.revize.com/revize/carboncounty/Document%20Center/Service/Elections%20Voter%20Registration/2024%20General%20Results/StatementOfVotesCastRPT.pdf,races\Attorney_General\attorney_general.csv,12/1/2024 09:12 PM
2024 GENERAL,PENNSYLVANIA,CARBON COUNTY,Lehighton Borough - First Ward,ATTORNEY GENERAL,ERIC L SETTLE,FWD,,2,no,OFFICIAL,https://cms5.revize.com/revize/carboncounty/Document%20Center/Service/Elections%20Voter%20Registration/2024%20General%20Results/StatementOfVotesCastRPT.pdf,races\Attorney_General\attorney_general.csv,12/1/2024 09:12 PM
2024 GENERAL,PENNSYLVANIA,CARBON COUNTY,Lehighton Borough - First Ward,ATTORNEY GENERAL,EUGENE DEPASQUALE,DEM,,289,no,OFFICIAL,https://cms5.revize.com/revize/carboncounty/Document%20Center/Service/Elections%20Voter%20Registration/2024%20General%20Results/StatementOfVotesCastRPT.pdf,races\Attorney_General\attorney_general.csv,12/1/2024 09:12 PM
2024 GENERAL,PENNSYLVANIA,CARBON COUNTY,Lehighton Borough - First Ward,ATTORNEY GENERAL,JUSTIN L MAGILL,CON,,4,no,OFFICIAL,https://cms5.revize.com/revize/carboncounty/Document%20Center/Service/Elections%20Voter%20Registration/2024%20General%20Results/StatementOfVotesCastRPT.pdf,races\Attorney_General\attorney_general.csv,12/1/2024 09:12 PM
2024 GENERAL,PENNSYLVANIA,CARBON COUNTY,Lehighton Borough - First Ward,ATTORNEY GENERAL,RICHARD L WEISS,GRN,,11,no,OFFICIAL,https://cms5.revize.com/revize/carboncounty/Document%20Center/Service/Elections%20Voter%20Registration/2024%20General%20Results/StatementOfVotesCastRPT.pdf,races\Attorney_General\attorney_general.csv,12/1/2024 09:12 PM
2024 GENERAL,PENNSYLVANIA,CARBON COUNTY,Lehighton Borough - First Ward,ATTORNEY GENERAL,ROBERT COWBURN,LIB,,15,no,OFFICIAL,https://cms5.revize.com/revize/carboncounty/Document%20Center/Service/Elections%20Voter%20Registration/2024%20General%20Results/StatementOfVotesCastRPT.pdf,races\Attorney_General\attorney_general.csv,12/1/2024 09:12 PM
2024 GENERAL,PENNSYLVANIA,CARBON COUNTY,Lehighton Borough - Second Ward,ATTORNEY GENERAL,DAVE SUNDAY,REP,,429,no,OFFICIAL,https://cms5.revize.com/revize/carboncounty/Document%20Center/Service/Elections%20Voter%20Registration/2024%20General%20Results/StatementOfVotesCastRPT.pdf,races\Attorney_General\attorney_general.csv,12/1/2024 09:12 PM
2024 GENERAL,PENNSYLVANIA,CARBON COUNTY,Lehighton Borough - Second Ward,ATTORNEY GENERAL,ERIC L SETTLE,FWD,,3,no,OFFICIAL,https://cms5.revize.com/revize/carboncounty/Document%20Center/Service/Elections%20Voter%20Registration/2024%20General%20Results/StatementOfVotesCastRPT.pdf,races\Attorney_General\attorney_general.csv,12/1/2024 09:12 PM
2024 GENERAL,PENNSYLVANIA,CARBON COUNTY,Lehighton Borough - Second Ward,ATTORNEY GENERAL,EUGENE DEPASQUALE,DEM,,272,no,OFFICIAL,https://cms5.revize.com/revize/carboncounty/Document%20Center/Service/Elections%20Voter%20Registration/2024%20General%20Results/StatementOfVotesCastRPT.pdf,races\Attorney_General\attorney_general.csv,12/1/2024 09:12 PM
