0,1,2
Precinct,Times Cast,"Registered 
Voters"
County,,
PA County,,
East Greenville,,
Election Day,"1,241","2,028"
Mail-in,339,"2,028"
Provisional,18,"2,028"
Total,"1,598","2,028"
Hatfield Borough,,
Election Day,"1,225","2,107"
Mail-in,421,"2,107"
Provisional,10,"2,107"
Total,"1,656","2,107"
Pennsburg,,
Election Day,"1,482","2,430"
Mail-in,441,"2,430"
Provisional,7,"2,430"
Total,"1,930","2,430"
Red Hill,,
Election Day,"1,077","1,789"
Mail-in,408,"1,789"
Provisional,11,"1,789"
Total,"1,496","1,789"
Souderton 1,,
Election Day,"1,040","1,650"
Mail-in,306,"1,650"
Provisional,6,"1,650"
Total,"1,352","1,650"
