precinct,method,candidate,votes
Hatfield 1-1,Election Day,KAMALA D HARRIS(DEM),302
Hatfield 1-1,Election Day,DONALD J TRUMP(REP),302
Hatfield 1-1,Mail-in,KAMALA D HARRIS(DEM),216
Hatfield 1-1,Mail-in,DONALD J TRUMP(REP),75
Hatfield 1-1,Provisional,KAMALA D HARRIS(DEM),6
Hatfield 1-1,Provisional,DONALD J TRUMP(REP),8
Hatfield 1-1,Total,KAMALA D HARRIS(DEM),524
Hatfield 1-1,Total,DONALD J TRUMP(REP),385
Hatfield 1-2,Election Day,KAMALA D HARRIS(DEM),388
Hatfield 1-2,Election Day,DONALD J TRUMP(REP),573
Hatfield 1-2,Mail-in,KAMALA D HARRIS(DEM),260
Hatfield 1-2,Mail-in,DONALD J TRUMP(REP),110
Hatfield 1-2,Provisional,KAMALA D HARRIS(DEM),6
Hatfield 1-2,Provisional,DONALD J TRUMP(REP),8
Hatfield 1-2,Total,KAMALA D HARRIS(DEM),654
Hatfield 1-2,Total,DONALD J TRUMP(REP),691
Hatfield 2-1,Election Day,KAMALA D HARRIS(DEM),243
Hatfield 2-1,Election Day,DONALD J TRUMP(REP),266
Hatfield 2-1,Mail-in,KAMALA D HARRIS(DEM),133
Hatfield 2-1,Mail-in,DONALD J TRUMP(REP),46
Hatfield 2-1,Provisional,KAMALA D HARRIS(DEM),10
Hatfield 2-1,Provisional,DONALD J TRUMP(REP),3
Hatfield 2-1,Total,KAMALA D HARRIS(DEM),386
Hatfield 2-1,Total,DONALD J TRUMP(REP),315
Hatfield 2-2,Election Day,KAMALA D HARRIS(DEM),****
Hatfield 2-2,Election Day,DONALD J TRUMP(REP),****
Hatfield 2-2,Mail-in,KAMALA D HARRIS(DEM),****
Hatfield 2-2,Mail-in,DONALD J TRUMP(REP),****
Hatfield 2-2,Provisional,KAMALA D HARRIS(DEM),****
Hatfield 2-2,Provisional,DONALD J TRUMP(REP),****
Hatfield 2-2,Total,KAMALA D HARRIS(DEM),286
Hatfield 2-2,Total,DONALD J TRUMP(REP),236
Hatfield 3-1,Election Day,KAMALA D HARRIS(DEM),443
Hatfield 3-1,Election Day,DONALD J TRUMP(REP),532
Hatfield 3-1,Mail-in,KAMALA D HARRIS(DEM),264
Hatfield 3-1,Mail-in,DONALD J TRUMP(REP),124
Hatfield 3-1,Provisional,KAMALA D HARRIS(DEM),17
Hatfield 3-1,Provisional,DONALD J TRUMP(REP),11
Hatfield 3-1,Total,KAMALA D HARRIS(DEM),724
Hatfield 3-1,Total,DONALD J TRUMP(REP),667
Hatfield 3-2,Election Day,KAMALA D HARRIS(DEM),417
Hatfield 3-2,Election Day,DONALD J TRUMP(REP),578
Hatfield 3-2,Mail-in,KAMALA D HARRIS(DEM),355
Hatfield 3-2,Mail-in,DONALD J TRUMP(REP),187
Hatfield 3-2,Provisional,KAMALA D HARRIS(DEM),7
Hatfield 3-2,Provisional,DONALD J TRUMP(REP),5
Hatfield 3-2,Total,KAMALA D HARRIS(DEM),779
Hatfield 3-2,Total,DONALD J TRUMP(REP),770
