precinct,method,candidate,votes
East Norriton 2-1,Election Day,Christin PowersQualified Write In,****
East Norriton 2-1,Election Day,Richard RootQualified Write In,****
East Norriton 2-1,Election Day,Suzie ScottQualified Write In,****
East Norriton 2-1,Election Day,Edward ShlikasQualified Write In,****
East Norriton 2-1,Election Day,Christopher StriedQualified Write In,****
East Norriton 2-1,Election Day,Alix C. Toulme Jr.Qualified Write In,****
East Norriton 2-1,Election Day,UnresolvedWrite-In,****
East Norriton 2-1,Mail-in,Christin PowersQualified Write In,****
East Norriton 2-1,Mail-in,Richard RootQualified Write In,****
East Norriton 2-1,Mail-in,Suzie ScottQualified Write In,****
East Norriton 2-1,Mail-in,Edward ShlikasQualified Write In,****
East Norriton 2-1,Mail-in,Christopher StriedQualified Write In,****
East Norriton 2-1,Mail-in,Alix C. Toulme Jr.Qualified Write In,****
East Norriton 2-1,Mail-in,UnresolvedWrite-In,****
East Norriton 2-1,Provisional,Christin PowersQualified Write In,****
East Norriton 2-1,Provisional,Richard RootQualified Write In,****
East Norriton 2-1,Provisional,Suzie ScottQualified Write In,****
East Norriton 2-1,Provisional,Edward ShlikasQualified Write In,****
East Norriton 2-1,Provisional,Christopher StriedQualified Write In,****
East Norriton 2-1,Provisional,Alix C. Toulme Jr.Qualified Write In,****
East Norriton 2-1,Provisional,UnresolvedWrite-In,****
East Norriton 2-1,Total,Christin PowersQualified Write In,0
East Norriton 2-1,Total,Richard RootQualified Write In,0
East Norriton 2-1,Total,Suzie ScottQualified Write In,0
East Norriton 2-1,Total,Edward ShlikasQualified Write In,0
East Norriton 2-1,Total,Christopher StriedQualified Write In,0
East Norriton 2-1,Total,Alix C. Toulme Jr.Qualified Write In,0
East Norriton 2-1,Total,UnresolvedWrite-In,3
East Norriton 2-2,Election Day,Christin PowersQualified Write In,0
East Norriton 2-2,Election Day,Richard RootQualified Write In,0
East Norriton 2-2,Election Day,Suzie ScottQualified Write In,0
East Norriton 2-2,Election Day,Edward ShlikasQualified Write In,0
East Norriton 2-2,Election Day,Christopher StriedQualified Write In,0
East Norriton 2-2,Election Day,Alix C. Toulme Jr.Qualified Write In,0
East Norriton 2-2,Election Day,UnresolvedWrite-In,0
East Norriton 2-2,Mail-in,Christin PowersQualified Write In,0
East Norriton 2-2,Mail-in,Richard RootQualified Write In,0
East Norriton 2-2,Mail-in,Suzie ScottQualified Write In,0
East Norriton 2-2,Mail-in,Edward ShlikasQualified Write In,0
East Norriton 2-2,Mail-in,Christopher StriedQualified Write In,0
East Norriton 2-2,Mail-in,Alix C. Toulme Jr.Qualified Write In,0
East Norriton 2-2,Mail-in,UnresolvedWrite-In,0
East Norriton 2-2,Provisional,Christin PowersQualified Write In,0
East Norriton 2-2,Provisional,Richard RootQualified Write In,0
East Norriton 2-2,Provisional,Suzie ScottQualified Write In,0
East Norriton 2-2,Provisional,Edward ShlikasQualified Write In,0
East Norriton 2-2,Provisional,Christopher StriedQualified Write In,0
East Norriton 2-2,Provisional,Alix C. Toulme Jr.Qualified Write In,0
East Norriton 2-2,Provisional,UnresolvedWrite-In,0
East Norriton 2-2,Total,Christin PowersQualified Write In,0
East Norriton 2-2,Total,Richard RootQualified Write In,0
East Norriton 2-2,Total,Suzie ScottQualified Write In,0
East Norriton 2-2,Total,Edward ShlikasQualified Write In,0
East Norriton 2-2,Total,Christopher StriedQualified Write In,0
East Norriton 2-2,Total,Alix C. Toulme Jr.Qualified Write In,0
East Norriton 2-2,Total,UnresolvedWrite-In,0
East Norriton 2-3,Election Day,Christin PowersQualified Write In,0
East Norriton 2-3,Election Day,Richard RootQualified Write In,0
East Norriton 2-3,Election Day,Suzie ScottQualified Write In,0
East Norriton 2-3,Election Day,Edward ShlikasQualified Write In,0
East Norriton 2-3,Election Day,Christopher StriedQualified Write In,0
East Norriton 2-3,Election Day,Alix C. Toulme Jr.Qualified Write In,0
East Norriton 2-3,Election Day,UnresolvedWrite-In,3
East Norriton 2-3,Mail-in,Christin PowersQualified Write In,0
East Norriton 2-3,Mail-in,Richard RootQualified Write In,0
East Norriton 2-3,Mail-in,Suzie ScottQualified Write In,0
East Norriton 2-3,Mail-in,Edward ShlikasQualified Write In,0
East Norriton 2-3,Mail-in,Christopher StriedQualified Write In,0
East Norriton 2-3,Mail-in,Alix C. Toulme Jr.Qualified Write In,0
East Norriton 2-3,Mail-in,UnresolvedWrite-In,3
East Norriton 2-3,Provisional,Christin PowersQualified Write In,0
East Norriton 2-3,Provisional,Richard RootQualified Write In,0
East Norriton 2-3,Provisional,Suzie ScottQualified Write In,0
East Norriton 2-3,Provisional,Edward ShlikasQualified Write In,0
East Norriton 2-3,Provisional,Christopher StriedQualified Write In,0
East Norriton 2-3,Provisional,Alix C. Toulme Jr.Qualified Write In,0
East Norriton 2-3,Provisional,UnresolvedWrite-In,0
East Norriton 2-3,Total,Christin PowersQualified Write In,0
East Norriton 2-3,Total,Richard RootQualified Write In,0
East Norriton 2-3,Total,Suzie ScottQualified Write In,0
East Norriton 2-3,Total,Edward ShlikasQualified Write In,0
East Norriton 2-3,Total,Christopher StriedQualified Write In,0
East Norriton 2-3,Total,Alix C. Toulme Jr.Qualified Write In,0
East Norriton 2-3,Total,UnresolvedWrite-In,6
East Norriton 2-4,Election Day,Christin PowersQualified Write In,****
East Norriton 2-4,Election Day,Richard RootQualified Write In,****
East Norriton 2-4,Election Day,Suzie ScottQualified Write In,****
East Norriton 2-4,Election Day,Edward ShlikasQualified Write In,****
East Norriton 2-4,Election Day,Christopher StriedQualified Write In,****
East Norriton 2-4,Election Day,Alix C. Toulme Jr.Qualified Write In,****
East Norriton 2-4,Election Day,UnresolvedWrite-In,****
East Norriton 2-4,Mail-in,Christin PowersQualified Write In,****
East Norriton 2-4,Mail-in,Richard RootQualified Write In,****
East Norriton 2-4,Mail-in,Suzie ScottQualified Write In,****
East Norriton 2-4,Mail-in,Edward ShlikasQualified Write In,****
East Norriton 2-4,Mail-in,Christopher StriedQualified Write In,****
East Norriton 2-4,Mail-in,Alix C. Toulme Jr.Qualified Write In,****
East Norriton 2-4,Mail-in,UnresolvedWrite-In,****
East Norriton 2-4,Provisional,Christin PowersQualified Write In,****
East Norriton 2-4,Provisional,Richard RootQualified Write In,****
East Norriton 2-4,Provisional,Suzie ScottQualified Write In,****
East Norriton 2-4,Provisional,Edward ShlikasQualified Write In,****
East Norriton 2-4,Provisional,Christopher StriedQualified Write In,****
East Norriton 2-4,Provisional,Alix C. Toulme Jr.Qualified Write In,****
East Norriton 2-4,Provisional,UnresolvedWrite-In,****
East Norriton 2-4,Total,Christin PowersQualified Write In,0
East Norriton 2-4,Total,Richard RootQualified Write In,0
East Norriton 2-4,Total,Suzie ScottQualified Write In,0
East Norriton 2-4,Total,Edward ShlikasQualified Write In,0
East Norriton 2-4,Total,Christopher StriedQualified Write In,0
East Norriton 2-4,Total,Alix C. Toulme Jr.Qualified Write In,0
East Norriton 2-4,Total,UnresolvedWrite-In,4
Franconia 1,Election Day,Christin PowersQualified Write In,****
Franconia 1,Election Day,Richard RootQualified Write In,****
Franconia 1,Election Day,Suzie ScottQualified Write In,****
Franconia 1,Election Day,Edward ShlikasQualified Write In,****
Franconia 1,Election Day,Christopher StriedQualified Write In,****
Franconia 1,Election Day,Alix C. Toulme Jr.Qualified Write In,****
Franconia 1,Election Day,UnresolvedWrite-In,****
Franconia 1,Mail-in,Christin PowersQualified Write In,****
Franconia 1,Mail-in,Richard RootQualified Write In,****
Franconia 1,Mail-in,Suzie ScottQualified Write In,****
Franconia 1,Mail-in,Edward ShlikasQualified Write In,****
Franconia 1,Mail-in,Christopher StriedQualified Write In,****
Franconia 1,Mail-in,Alix C. Toulme Jr.Qualified Write In,****
Franconia 1,Mail-in,UnresolvedWrite-In,****
Franconia 1,Provisional,Christin PowersQualified Write In,****
Franconia 1,Provisional,Richard RootQualified Write In,****
Franconia 1,Provisional,Suzie ScottQualified Write In,****
Franconia 1,Provisional,Edward ShlikasQualified Write In,****
Franconia 1,Provisional,Christopher StriedQualified Write In,****
Franconia 1,Provisional,Alix C. Toulme Jr.Qualified Write In,****
Franconia 1,Provisional,UnresolvedWrite-In,****
Franconia 1,Total,Christin PowersQualified Write In,0
Franconia 1,Total,Richard RootQualified Write In,0
Franconia 1,Total,Suzie ScottQualified Write In,0
Franconia 1,Total,Edward ShlikasQualified Write In,0
Franconia 1,Total,Christopher StriedQualified Write In,0
Franconia 1,Total,Alix C. Toulme Jr.Qualified Write In,0
Franconia 1,Total,UnresolvedWrite-In,3
Franconia 2,Election Day,Christin PowersQualified Write In,****
Franconia 2,Election Day,Richard RootQualified Write In,****
Franconia 2,Election Day,Suzie ScottQualified Write In,****
Franconia 2,Election Day,Edward ShlikasQualified Write In,****
Franconia 2,Election Day,Christopher StriedQualified Write In,****
Franconia 2,Election Day,Alix C. Toulme Jr.Qualified Write In,****
Franconia 2,Election Day,UnresolvedWrite-In,****
Franconia 2,Mail-in,Christin PowersQualified Write In,****
Franconia 2,Mail-in,Richard RootQualified Write In,****
Franconia 2,Mail-in,Suzie ScottQualified Write In,****
Franconia 2,Mail-in,Edward ShlikasQualified Write In,****
Franconia 2,Mail-in,Christopher StriedQualified Write In,****
Franconia 2,Mail-in,Alix C. Toulme Jr.Qualified Write In,****
Franconia 2,Mail-in,UnresolvedWrite-In,****
Franconia 2,Provisional,Christin PowersQualified Write In,****
Franconia 2,Provisional,Richard RootQualified Write In,****
Franconia 2,Provisional,Suzie ScottQualified Write In,****
Franconia 2,Provisional,Edward ShlikasQualified Write In,****
Franconia 2,Provisional,Christopher StriedQualified Write In,****
Franconia 2,Provisional,Alix C. Toulme Jr.Qualified Write In,****
Franconia 2,Provisional,UnresolvedWrite-In,****
Franconia 2,Total,Christin PowersQualified Write In,0
Franconia 2,Total,Richard RootQualified Write In,0
Franconia 2,Total,Suzie ScottQualified Write In,0
Franconia 2,Total,Edward ShlikasQualified Write In,0
Franconia 2,Total,Christopher StriedQualified Write In,0
Franconia 2,Total,Alix C. Toulme Jr.Qualified Write In,0
Franconia 2,Total,UnresolvedWrite-In,9
