precinct,candidate,votes
Lehighton Borough - Second Ward,JOHN C THOMAS (LIB),14
Lehighton Borough - Second Ward,LEILA HAZOU (GRN),6
Lehighton Borough - Second Ward,MARTY SELKER (CON),1
Lehighton Borough - Second Ward,ROBERT P CASEY JR (DEM),294
Lehighton Borough - Third Ward,DAVE MCCORMICK (REP),508
Lehighton Borough - Third Ward,JOHN C THOMAS (LIB),15
Lehighton Borough - Third Ward,LEILA HAZOU (GRN),12
Lehighton Borough - Third Ward,MARTY SELKER (CON),1
Lehighton Borough - Third Ward,ROBERT P CASEY JR (DEM),309
Lower Towamensing Township - North,DAVE MCCORMICK (REP),757
Lower Towamensing Township - North,JOHN C THOMAS (LIB),5
Lower Towamensing Township - North,LEILA HAZOU (GRN),10
Lower Towamensing Township - North,MARTY SELKER (CON),2
Lower Towamensing Township - North,ROBERT P CASEY JR (DEM),281
Lower Towamensing Township - South,DAVE MCCORMICK (REP),516
Lower Towamensing Township - South,JOHN C THOMAS (LIB),16
Lower Towamensing Township - South,LEILA HAZOU (GRN),4
Lower Towamensing Township - South,MARTY SELKER (CON),3
Lower Towamensing Township - South,ROBERT P CASEY JR (DEM),218
Mahoning Township - Mahoning,DAVE MCCORMICK (REP),976
Mahoning Township - Mahoning,JOHN C THOMAS (LIB),8
Mahoning Township - Mahoning,LEILA HAZOU (GRN),12
Mahoning Township - Mahoning,MARTY SELKER (CON),6
Mahoning Township - Mahoning,ROBERT P CASEY JR (DEM),416
Mahoning Township - New Mahoning,DAVE MCCORMICK (REP),389
Mahoning Township - New Mahoning,JOHN C THOMAS (LIB),10
Mahoning Township - New Mahoning,LEILA HAZOU (GRN),3
Mahoning Township - New Mahoning,MARTY SELKER (CON),4
Mahoning Township - New Mahoning,ROBERT P CASEY JR (DEM),133
Mahoning Township - Packerton/Jamestown,DAVE MCCORMICK (REP),279
Mahoning Township - Packerton/Jamestown,JOHN C THOMAS (LIB),4
Mahoning Township - Packerton/Jamestown,LEILA HAZOU (GRN),9
Mahoning Township - Packerton/Jamestown,MARTY SELKER (CON),3
Mahoning Township - Packerton/Jamestown,ROBERT P CASEY JR (DEM),133
Nesquehoning Borough - East,DAVE MCCORMICK (REP),433
Nesquehoning Borough - East,JOHN C THOMAS (LIB),12
Nesquehoning Borough - East,LEILA HAZOU (GRN),6
Nesquehoning Borough - East,MARTY SELKER (CON),2
Nesquehoning Borough - East,ROBERT P CASEY JR (DEM),283
