precinct,candidate,votes
Lansford Borough - Middle,RICHARD L WEISS (GRN),4
Lansford Borough - Middle,ROBERT COWBURN (LIB),10
Lansford Borough - West,DAVE SUNDAY (REP),225
Lansford Borough - West,ERIC L SETTLE (FWD),0
Lansford Borough - West,EUGENE DEPASQUALE (DEM),155
Lansford Borough - West,JUSTIN L MAGILL (CON),7
Lansford Borough - West,RICHARD L WEISS (GRN),8
Lansford Borough - West,ROBERT COWBURN (LIB),8
Lausanne Township,DAVE SUNDAY (REP),104
Lausanne Township,ERIC L SETTLE (FWD),1
Lausanne Township,EUGENE DEPASQUALE (DEM),36
Lausanne Township,JUSTIN L MAGILL (CON),3
Lausanne Township,RICHARD L WEISS (GRN),1
Lausanne Township,ROBERT COWBURN (LIB),1
Lehigh Township,DAVE SUNDAY (REP),214
Lehigh Township,ERIC L SETTLE (FWD),0
Lehigh Township,EUGENE DEPASQUALE (DEM),54
Lehigh Township,JUSTIN L MAGILL (CON),1
Lehigh Township,RICHARD L WEISS (GRN),3
Lehigh Township,ROBERT COWBURN (LIB),6
Lehighton Borough - First Ward,DAVE SUNDAY (REP),500
Lehighton Borough - First Ward,ERIC L SETTLE (FWD),2
Lehighton Borough - First Ward,EUGENE DEPASQUALE (DEM),289
Lehighton Borough - First Ward,JUSTIN L MAGILL (CON),4
Lehighton Borough - First Ward,RICHARD L WEISS (GRN),11
Lehighton Borough - First Ward,ROBERT COWBURN (LIB),15
Lehighton Borough - Second Ward,DAVE SUNDAY (REP),429
Lehighton Borough - Second Ward,ERIC L SETTLE (FWD),3
Lehighton Borough - Second Ward,EUGENE DEPASQUALE (DEM),272
Lehighton Borough - Second Ward,JUSTIN L MAGILL (CON),5
Lehighton Borough - Second Ward,RICHARD L WEISS (GRN),10
Lehighton Borough - Second Ward,ROBERT COWBURN (LIB),17
Lehighton Borough - Third Ward,DAVE SUNDAY (REP),496
Lehighton Borough - Third Ward,ERIC L SETTLE (FWD),2
Lehighton Borough - Third Ward,EUGENE DEPASQUALE (DEM),298
Lehighton Borough - Third Ward,JUSTIN L MAGILL (CON),5
Lehighton Borough - Third Ward,RICHARD L WEISS (GRN),13
Lehighton Borough - Third Ward,ROBERT COWBURN (LIB),16
Lower Towamensing Township - North,DAVE SUNDAY (REP),748
Lower Towamensing Township - North,ERIC L SETTLE (FWD),1
Lower Towamensing Township - North,EUGENE DEPASQUALE (DEM),272
Lower Towamensing Township - North,JUSTIN L MAGILL (CON),3
Lower Towamensing Township - North,RICHARD L WEISS (GRN),12
Lower Towamensing Township - North,ROBERT COWBURN (LIB),8
Lower Towamensing Township - South,DAVE SUNDAY (REP),509
Lower Towamensing Township - South,ERIC L SETTLE (FWD),1
Lower Towamensing Township - South,EUGENE DEPASQUALE (DEM),211
Lower Towamensing Township - South,JUSTIN L MAGILL (CON),5
Lower Towamensing Township - South,RICHARD L WEISS (GRN),6
Lower Towamensing Township - South,ROBERT COWBURN (LIB),14
Mahoning Township - Mahoning,DAVE SUNDAY (REP),964
Mahoning Township - Mahoning,ERIC L SETTLE (FWD),7
Mahoning Township - Mahoning,EUGENE DEPASQUALE (DEM),394
Mahoning Township - Mahoning,JUSTIN L MAGILL (CON),7
Mahoning Township - Mahoning,RICHARD L WEISS (GRN),11
Mahoning Township - Mahoning,ROBERT COWBURN (LIB),14
Mahoning Township - New Mahoning,DAVE SUNDAY (REP),400
Mahoning Township - New Mahoning,ERIC L SETTLE (FWD),1
Mahoning Township - New Mahoning,EUGENE DEPASQUALE (DEM),117
Mahoning Township - New Mahoning,JUSTIN L MAGILL (CON),3
Mahoning Township - New Mahoning,RICHARD L WEISS (GRN),3
Mahoning Township - New Mahoning,ROBERT COWBURN (LIB),7
Mahoning Township - Packerton/Jamestown,DAVE SUNDAY (REP),282
Mahoning Township - Packerton/Jamestown,ERIC L SETTLE (FWD),0
Mahoning Township - Packerton/Jamestown,EUGENE DEPASQUALE (DEM),123
Mahoning Township - Packerton/Jamestown,JUSTIN L MAGILL (CON),3
Mahoning Township - Packerton/Jamestown,RICHARD L WEISS (GRN),8
Mahoning Township - Packerton/Jamestown,ROBERT COWBURN (LIB),5
Nesquehoning Borough - East,DAVE SUNDAY (REP),423
Nesquehoning Borough - East,ERIC L SETTLE (FWD),4
Nesquehoning Borough - East,EUGENE DEPASQUALE (DEM),275
Nesquehoning Borough - East,JUSTIN L MAGILL (CON),6
Nesquehoning Borough - East,RICHARD L WEISS (GRN),5
Nesquehoning Borough - East,ROBERT COWBURN (LIB),15
Nesquehoning Borough - West,DAVE SUNDAY (REP),465
Nesquehoning Borough - West,ERIC L SETTLE (FWD),1
Nesquehoning Borough - West,EUGENE DEPASQUALE (DEM),300
Nesquehoning Borough - West,JUSTIN L MAGILL (CON),11
Nesquehoning Borough - West,RICHARD L WEISS (GRN),6
Nesquehoning Borough - West,ROBERT COWBURN (LIB),18
Packer Township,DAVE SUNDAY (REP),497
Packer Township,ERIC L SETTLE (FWD),1
Packer Township,EUGENE DEPASQUALE (DEM),123
Packer Township,JUSTIN L MAGILL (CON),4
Packer Township,RICHARD L WEISS (GRN),6
Packer Township,ROBERT COWBURN (LIB),6
Palmerton Borough - East,DAVE SUNDAY (REP),592
Palmerton Borough - East,ERIC L SETTLE (FWD),1
Palmerton Borough - East,EUGENE DEPASQUALE (DEM),256
Palmerton Borough - East,JUSTIN L MAGILL (CON),6
Palmerton Borough - East,RICHARD L WEISS (GRN),7
Palmerton Borough - East,ROBERT COWBURN (LIB),14
Palmerton Borough - Middle,DAVE SUNDAY (REP),767
Palmerton Borough - Middle,ERIC L SETTLE (FWD),0
Palmerton Borough - Middle,EUGENE DEPASQUALE (DEM),445
Palmerton Borough - Middle,JUSTIN L MAGILL (CON),8
Palmerton Borough - Middle,RICHARD L WEISS (GRN),12
Palmerton Borough - Middle,ROBERT COWBURN (LIB),22
Palmerton Borough - West,DAVE SUNDAY (REP),259
Palmerton Borough - West,ERIC L SETTLE (FWD),0
Palmerton Borough - West,EUGENE DEPASQUALE (DEM),125
Palmerton Borough - West,JUSTIN L MAGILL (CON),2
Palmerton Borough - West,RICHARD L WEISS (GRN),8
Palmerton Borough - West,ROBERT COWBURN (LIB),14
Parryville Borough,DAVE SUNDAY (REP),148
Parryville Borough,ERIC L SETTLE (FWD),0
Parryville Borough,EUGENE DEPASQUALE (DEM),54
Parryville Borough,JUSTIN L MAGILL (CON),3
Parryville Borough,RICHARD L WEISS (GRN),5
Parryville Borough,ROBERT COWBURN (LIB),7
Penn Forest Township - East,DAVE SUNDAY (REP),706
Penn Forest Township - East,ERIC L SETTLE (FWD),2
Penn Forest Township - East,EUGENE DEPASQUALE (DEM),426
Penn Forest Township - East,JUSTIN L MAGILL (CON),7
Penn Forest Township - East,RICHARD L WEISS (GRN),8
Penn Forest Township - East,ROBERT COWBURN (LIB),18
Penn Forest Township - Middle,DAVE SUNDAY (REP),521
Penn Forest Township - Middle,ERIC L SETTLE (FWD),1
Penn Forest Township - Middle,EUGENE DEPASQUALE (DEM),282
Penn Forest Township - Middle,JUSTIN L MAGILL (CON),5
Penn Forest Township - Middle,RICHARD L WEISS (GRN),8
Penn Forest Township - Middle,ROBERT COWBURN (LIB),15
Penn Forest Township - Northeast,DAVE SUNDAY (REP),776
Penn Forest Township - Northeast,ERIC L SETTLE (FWD),5
Penn Forest Township - Northeast,EUGENE DEPASQUALE (DEM),455
Penn Forest Township - Northeast,JUSTIN L MAGILL (CON),9
Penn Forest Township - Northeast,RICHARD L WEISS (GRN),11
Penn Forest Township - Northeast,ROBERT COWBURN (LIB),21
Penn Forest Township - Northwest,DAVE SUNDAY (REP),930
Penn Forest Township - Northwest,ERIC L SETTLE (FWD),1
Penn Forest Township - Northwest,EUGENE DEPASQUALE (DEM),412
Penn Forest Township - Northwest,JUSTIN L MAGILL (CON),3
Penn Forest Township - Northwest,RICHARD L WEISS (GRN),12
Penn Forest Township - Northwest,ROBERT COWBURN (LIB),14
Penn Forest Township - Southwest,DAVE SUNDAY (REP),692
Penn Forest Township - Southwest,ERIC L SETTLE (FWD),2
Penn Forest Township - Southwest,EUGENE DEPASQUALE (DEM),395
Penn Forest Township - Southwest,JUSTIN L MAGILL (CON),6
Penn Forest Township - Southwest,RICHARD L WEISS (GRN),4
Penn Forest Township - Southwest,ROBERT COWBURN (LIB),11
Summit Hill Borough - First Ward,DAVE SUNDAY (REP),217
Summit Hill Borough - First Ward,ERIC L SETTLE (FWD),0
Summit Hill Borough - First Ward,EUGENE DEPASQUALE (DEM),160
Summit Hill Borough - First Ward,JUSTIN L MAGILL (CON),4
Summit Hill Borough - First Ward,RICHARD L WEISS (GRN),4
Summit Hill Borough - First Ward,ROBERT COWBURN (LIB),12
Summit Hill Borough - Second Ward,DAVE SUNDAY (REP),203
Summit Hill Borough - Second Ward,ERIC L SETTLE (FWD),0
Summit Hill Borough - Second Ward,EUGENE DEPASQUALE (DEM),179
Summit Hill Borough - Second Ward,JUSTIN L MAGILL (CON),0
Summit Hill Borough - Second Ward,RICHARD L WEISS (GRN),5
Summit Hill Borough - Second Ward,ROBERT COWBURN (LIB),8
Summit Hill Borough - Third Ward/First,DAVE SUNDAY (REP),291
Summit Hill Borough - Third Ward/First,ERIC L SETTLE (FWD),0
Summit Hill Borough - Third Ward/First,EUGENE DEPASQUALE (DEM),180
Summit Hill Borough - Third Ward/First,JUSTIN L MAGILL (CON),4
Summit Hill Borough - Third Ward/First,RICHARD L WEISS (GRN),3
Summit Hill Borough - Third Ward/First,ROBERT COWBURN (LIB),10
Summit Hill Borough - Third Ward/Second,DAVE SUNDAY (REP),189
Summit Hill Borough - Third Ward/Second,ERIC L SETTLE (FWD),0
Summit Hill Borough - Third Ward/Second,EUGENE DEPASQUALE (DEM),95
Summit Hill Borough - Third Ward/Second,JUSTIN L MAGILL (CON),1
Summit Hill Borough - Third Ward/Second,RICHARD L WEISS (GRN),2
Summit Hill Borough - Third Ward/Second,ROBERT COWBURN (LIB),5
Towamensing Township - North,DAVE SUNDAY (REP),651
Towamensing Township - North,ERIC L SETTLE (FWD),2
