precinct,method,candidate,votes
Bridgeport 1,Election Day,MARY GAY SCANLON(DEM),****
Bridgeport 1,Election Day,ALFEIA GOODWIN(REP),****
Bridgeport 1,Mail-in,MARY GAY SCANLON(DEM),****
Bridgeport 1,Mail-in,ALFEIA GOODWIN(REP),****
Bridgeport 1,Provisional,MARY GAY SCANLON(DEM),****
Bridgeport 1,Provisional,ALFEIA GOODWIN(REP),****
Bridgeport 1,Total,MARY GAY SCANLON(DEM),420
Bridgeport 1,Total,ALFEIA GOODWIN(REP),198
Bridgeport 2,Election Day,MARY GAY SCANLON(DEM),****
Bridgeport 2,Election Day,ALFEIA GOODWIN(REP),****
Bridgeport 2,Mail-in,MARY GAY SCANLON(DEM),****
Bridgeport 2,Mail-in,ALFEIA GOODWIN(REP),****
Bridgeport 2,Provisional,MARY GAY SCANLON(DEM),****
Bridgeport 2,Provisional,ALFEIA GOODWIN(REP),****
Bridgeport 2,Total,MARY GAY SCANLON(DEM),491
Bridgeport 2,Total,ALFEIA GOODWIN(REP),354
Bridgeport 3,Election Day,MARY GAY SCANLON(DEM),406
Bridgeport 3,Election Day,ALFEIA GOODWIN(REP),225
Bridgeport 3,Mail-in,MARY GAY SCANLON(DEM),103
Bridgeport 3,Mail-in,ALFEIA GOODWIN(REP),35
Bridgeport 3,Provisional,MARY GAY SCANLON(DEM),11
Bridgeport 3,Provisional,ALFEIA GOODWIN(REP),6
Bridgeport 3,Total,MARY GAY SCANLON(DEM),520
Bridgeport 3,Total,ALFEIA GOODWIN(REP),266
Narberth 1,Election Day,MARY GAY SCANLON(DEM),****
Narberth 1,Election Day,ALFEIA GOODWIN(REP),****
Narberth 1,Mail-in,MARY GAY SCANLON(DEM),****
Narberth 1,Mail-in,ALFEIA GOODWIN(REP),****
Narberth 1,Provisional,MARY GAY SCANLON(DEM),****
Narberth 1,Provisional,ALFEIA GOODWIN(REP),****
Narberth 1,Total,MARY GAY SCANLON(DEM),751
Narberth 1,Total,ALFEIA GOODWIN(REP),145
Narberth 2,Election Day,MARY GAY SCANLON(DEM),****
Narberth 2,Election Day,ALFEIA GOODWIN(REP),****
Narberth 2,Mail-in,MARY GAY SCANLON(DEM),****
Narberth 2,Mail-in,ALFEIA GOODWIN(REP),****
Narberth 2,Provisional,MARY GAY SCANLON(DEM),****
Narberth 2,Provisional,ALFEIA GOODWIN(REP),****
Narberth 2,Total,MARY GAY SCANLON(DEM),"1,281"
Narberth 2,Total,ALFEIA GOODWIN(REP),236
Lower Merion 5-3,Election Day,Unresolved Write-In,****
Lower Merion 5-3,Mail-in,Unresolved Write-In,****
Lower Merion 5-3,Provisional,Unresolved Write-In,****
Lower Merion 5-3,Total,Unresolved Write-In,3
Lower Merion 6-1,Election Day,Unresolved Write-In,****
Lower Merion 6-1,Mail-in,Unresolved Write-In,****
Lower Merion 6-1,Provisional,Unresolved Write-In,****
Lower Merion 6-1,Total,Unresolved Write-In,4
Lower Merion 6-2,Election Day,Unresolved Write-In,1
Lower Merion 6-2,Mail-in,Unresolved Write-In,0
Lower Merion 6-2,Provisional,Unresolved Write-In,0
Lower Merion 6-2,Total,Unresolved Write-In,1
Lower Merion 7-1,Election Day,Unresolved Write-In,****
Lower Merion 7-1,Mail-in,Unresolved Write-In,****
Lower Merion 7-1,Provisional,Unresolved Write-In,****
Lower Merion 7-1,Total,Unresolved Write-In,2
Lower Merion 7-2,Election Day,Unresolved Write-In,****
Lower Merion 7-2,Mail-in,Unresolved Write-In,****
Lower Merion 7-2,Provisional,Unresolved Write-In,****
Lower Merion 7-2,Total,Unresolved Write-In,3
Lower Merion 7-3,Election Day,Unresolved Write-In,****
Lower Merion 7-3,Mail-in,Unresolved Write-In,****
Lower Merion 7-3,Provisional,Unresolved Write-In,****
Lower Merion 7-3,Total,Unresolved Write-In,1
Lower Merion 8-1,Election Day,MARY GAY SCANLON(DEM),****
Lower Merion 8-1,Election Day,ALFEIA GOODWIN(REP),****
Lower Merion 8-1,Mail-in,MARY GAY SCANLON(DEM),****
Lower Merion 8-1,Mail-in,ALFEIA GOODWIN(REP),****
Lower Merion 8-1,Provisional,MARY GAY SCANLON(DEM),****
Lower Merion 8-1,Provisional,ALFEIA GOODWIN(REP),****
Lower Merion 8-1,Total,MARY GAY SCANLON(DEM),474
Lower Merion 8-1,Total,ALFEIA GOODWIN(REP),114
Lower Merion 8-2,Election Day,MARY GAY SCANLON(DEM),****
Lower Merion 8-2,Election Day,ALFEIA GOODWIN(REP),****
Lower Merion 8-2,Mail-in,MARY GAY SCANLON(DEM),****
Lower Merion 8-2,Mail-in,ALFEIA GOODWIN(REP),****
Lower Merion 8-2,Provisional,MARY GAY SCANLON(DEM),****
Lower Merion 8-2,Provisional,ALFEIA GOODWIN(REP),****
Lower Merion 8-2,Total,MARY GAY SCANLON(DEM),546
Lower Merion 8-2,Total,ALFEIA GOODWIN(REP),133
Lower Merion 8-3,Election Day,MARY GAY SCANLON(DEM),****
Lower Merion 8-3,Election Day,ALFEIA GOODWIN(REP),****
Lower Merion 8-3,Mail-in,MARY GAY SCANLON(DEM),****
Lower Merion 8-3,Mail-in,ALFEIA GOODWIN(REP),****
Lower Merion 8-3,Provisional,MARY GAY SCANLON(DEM),****
Lower Merion 8-3,Provisional,ALFEIA GOODWIN(REP),****
Lower Merion 8-3,Total,MARY GAY SCANLON(DEM),760
Lower Merion 8-3,Total,ALFEIA GOODWIN(REP),150
Lower Merion 8-4,Election Day,MARY GAY SCANLON(DEM),****
Lower Merion 8-4,Election Day,ALFEIA GOODWIN(REP),****
Lower Merion 8-4,Mail-in,MARY GAY SCANLON(DEM),****
Lower Merion 8-4,Mail-in,ALFEIA GOODWIN(REP),****
Lower Merion 8-4,Provisional,MARY GAY SCANLON(DEM),****
Lower Merion 8-4,Provisional,ALFEIA GOODWIN(REP),****
Lower Merion 8-4,Total,MARY GAY SCANLON(DEM),700
Lower Merion 8-4,Total,ALFEIA GOODWIN(REP),138
Lower Merion 10-1,Election Day,MARY GAY SCANLON(DEM),****
Lower Merion 10-1,Election Day,ALFEIA GOODWIN(REP),****
Lower Merion 10-1,Mail-in,MARY GAY SCANLON(DEM),****
Lower Merion 10-1,Mail-in,ALFEIA GOODWIN(REP),****
Lower Merion 10-1,Provisional,MARY GAY SCANLON(DEM),****
Lower Merion 10-1,Provisional,ALFEIA GOODWIN(REP),****
Lower Merion 10-1,Total,MARY GAY SCANLON(DEM),538
Lower Merion 10-1,Total,ALFEIA GOODWIN(REP),240
Lower Merion 10-2,Election Day,MARY GAY SCANLON(DEM),894
Lower Merion 10-2,Election Day,ALFEIA GOODWIN(REP),209
Lower Merion 10-2,Mail-in,MARY GAY SCANLON(DEM),425
Lower Merion 10-2,Mail-in,ALFEIA GOODWIN(REP),81
Lower Merion 10-2,Provisional,MARY GAY SCANLON(DEM),16
Lower Merion 10-2,Provisional,ALFEIA GOODWIN(REP),3
Lower Merion 10-2,Total,MARY GAY SCANLON(DEM),"1,335"
Lower Merion 10-2,Total,ALFEIA GOODWIN(REP),293
Lower Merion 8-1,Election Day,Unresolved Write-In,****
Lower Merion 8-1,Mail-in,Unresolved Write-In,****
Lower Merion 8-1,Provisional,Unresolved Write-In,****
Lower Merion 8-1,Total,Unresolved Write-In,0
Lower Merion 8-2,Election Day,Unresolved Write-In,****
Lower Merion 8-2,Mail-in,Unresolved Write-In,****
Lower Merion 8-2,Provisional,Unresolved Write-In,****
Lower Merion 8-2,Total,Unresolved Write-In,1
Lower Merion 8-3,Election Day,Unresolved Write-In,****
Lower Merion 8-3,Mail-in,Unresolved Write-In,****
Lower Merion 8-3,Provisional,Unresolved Write-In,****
Lower Merion 8-3,Total,Unresolved Write-In,0
Lower Merion 8-4,Election Day,Unresolved Write-In,****
Lower Merion 8-4,Mail-in,Unresolved Write-In,****
Lower Merion 8-4,Provisional,Unresolved Write-In,****
Lower Merion 8-4,Total,Unresolved Write-In,1
Lower Merion 10-1,Election Day,Unresolved Write-In,****
Lower Merion 10-1,Mail-in,Unresolved Write-In,****
Lower Merion 10-1,Provisional,Unresolved Write-In,****
Lower Merion 10-1,Total,Unresolved Write-In,2
Lower Merion 10-2,Election Day,Unresolved Write-In,3
Lower Merion 10-2,Mail-in,Unresolved Write-In,2
Lower Merion 10-2,Provisional,Unresolved Write-In,0
Lower Merion 10-2,Total,Unresolved Write-In,5
Lower Merion 10-3,Election Day,MARY GAY SCANLON(DEM),****
Lower Merion 10-3,Election Day,ALFEIA GOODWIN(REP),****
Lower Merion 10-3,Mail-in,MARY GAY SCANLON(DEM),****
Lower Merion 10-3,Mail-in,ALFEIA GOODWIN(REP),****
Lower Merion 10-3,Provisional,MARY GAY SCANLON(DEM),****
Lower Merion 10-3,Provisional,ALFEIA GOODWIN(REP),****
Lower Merion 10-3,Total,MARY GAY SCANLON(DEM),736
Lower Merion 10-3,Total,ALFEIA GOODWIN(REP),257
Lower Merion 11-1,Election Day,MARY GAY SCANLON(DEM),281
Lower Merion 11-1,Election Day,ALFEIA GOODWIN(REP),175
Lower Merion 11-1,Mail-in,MARY GAY SCANLON(DEM),291
Lower Merion 11-1,Mail-in,ALFEIA GOODWIN(REP),91
Lower Merion 11-1,Provisional,MARY GAY SCANLON(DEM),7
Lower Merion 11-1,Provisional,ALFEIA GOODWIN(REP),4
Lower Merion 11-1,Total,MARY GAY SCANLON(DEM),579
Lower Merion 11-1,Total,ALFEIA GOODWIN(REP),270
Lower Merion 11-2,Election Day,MARY GAY SCANLON(DEM),****
Lower Merion 11-2,Election Day,ALFEIA GOODWIN(REP),****
Lower Merion 11-2,Mail-in,MARY GAY SCANLON(DEM),****
Lower Merion 11-2,Mail-in,ALFEIA GOODWIN(REP),****
Lower Merion 11-2,Provisional,MARY GAY SCANLON(DEM),****
Lower Merion 11-2,Provisional,ALFEIA GOODWIN(REP),****
Lower Merion 11-2,Total,MARY GAY SCANLON(DEM),235
Lower Merion 11-2,Total,ALFEIA GOODWIN(REP),70
Lower Merion 11-3,Election Day,MARY GAY SCANLON(DEM),****
Lower Merion 11-3,Election Day,ALFEIA GOODWIN(REP),****
Lower Merion 11-3,Mail-in,MARY GAY SCANLON(DEM),****
Lower Merion 11-3,Mail-in,ALFEIA GOODWIN(REP),****
Lower Merion 11-3,Provisional,MARY GAY SCANLON(DEM),****
Lower Merion 11-3,Provisional,ALFEIA GOODWIN(REP),****
Lower Merion 11-3,Total,MARY GAY SCANLON(DEM),9
Lower Merion 11-3,Total,ALFEIA GOODWIN(REP),6
Lower Merion 12-1,Election Day,MARY GAY SCANLON(DEM),****
Lower Merion 12-1,Election Day,ALFEIA GOODWIN(REP),****
Lower Merion 12-1,Mail-in,MARY GAY SCANLON(DEM),****
Lower Merion 12-1,Mail-in,ALFEIA GOODWIN(REP),****
Lower Merion 12-1,Provisional,MARY GAY SCANLON(DEM),****
Lower Merion 12-1,Provisional,ALFEIA GOODWIN(REP),****
Lower Merion 12-1,Total,MARY GAY SCANLON(DEM),712
Lower Merion 12-1,Total,ALFEIA GOODWIN(REP),113
Lower Merion 12-2,Election Day,MARY GAY SCANLON(DEM),****
Lower Merion 12-2,Election Day,ALFEIA GOODWIN(REP),****
Lower Merion 12-2,Mail-in,MARY GAY SCANLON(DEM),****
Lower Merion 12-2,Mail-in,ALFEIA GOODWIN(REP),****
Lower Merion 12-2,Provisional,MARY GAY SCANLON(DEM),****
Lower Merion 12-2,Provisional,ALFEIA GOODWIN(REP),****
Lower Merion 12-2,Total,MARY GAY SCANLON(DEM),712
Lower Merion 12-2,Total,ALFEIA GOODWIN(REP),153
Lower Merion 10-3,Election Day,Unresolved Write-In,****
Lower Merion 10-3,Mail-in,Unresolved Write-In,****
Lower Merion 10-3,Provisional,Unresolved Write-In,****
Lower Merion 10-3,Total,Unresolved Write-In,4
Lower Merion 11-1,Election Day,Unresolved Write-In,1
Lower Merion 11-1,Mail-in,Unresolved Write-In,0
Lower Merion 11-1,Provisional,Unresolved Write-In,0
Lower Merion 11-1,Total,Unresolved Write-In,1
Lower Merion 11-2,Election Day,Unresolved Write-In,****
Lower Merion 11-2,Mail-in,Unresolved Write-In,****
Lower Merion 11-2,Provisional,Unresolved Write-In,****
Lower Merion 11-2,Total,Unresolved Write-In,1
Lower Merion 11-3,Election Day,Unresolved Write-In,****
Lower Merion 11-3,Mail-in,Unresolved Write-In,****
Lower Merion 11-3,Provisional,Unresolved Write-In,****
Lower Merion 11-3,Total,Unresolved Write-In,0
Lower Merion 12-1,Election Day,Unresolved Write-In,****
Lower Merion 12-1,Mail-in,Unresolved Write-In,****
Lower Merion 12-1,Provisional,Unresolved Write-In,****
Lower Merion 12-1,Total,Unresolved Write-In,3
Lower Merion 12-2,Election Day,Unresolved Write-In,****
Lower Merion 12-2,Mail-in,Unresolved Write-In,****
Lower Merion 12-2,Provisional,Unresolved Write-In,****
Lower Merion 12-2,Total,Unresolved Write-In,3
Lower Merion 12-3,Election Day,MARY GAY SCANLON(DEM),240
Lower Merion 12-3,Election Day,ALFEIA GOODWIN(REP),173
Lower Merion 12-3,Mail-in,MARY GAY SCANLON(DEM),231
Lower Merion 12-3,Mail-in,ALFEIA GOODWIN(REP),133
Lower Merion 12-3,Provisional,MARY GAY SCANLON(DEM),9
