0,1,2
Precinct,Times Cast,"Registered 
Voters"
Hatfield 1-1,,
Election Day,612,"1,144"
Mail-in,296,"1,144"
Provisional,14,"1,144"
Total,922,"1,144"
Hatfield 1-2,,
Election Day,972,"1,634"
Mail-in,372,"1,634"
Provisional,14,"1,634"
Total,"1,358","1,634"
Hatfield 2-1,,
Election Day,518,854
Mail-in,183,854
Provisional,13,854
Total,714,854
Hatfield 2-2,,
Election Day,375,616
Mail-in,151,616
Provisional,4,616
Total,530,616
Hatfield 3-1,,
Election Day,997,"1,885"
Mail-in,398,"1,885"
Provisional,29,"1,885"
Total,"1,424","1,885"
Hatfield 3-2,,
Election Day,"1,011","1,847"
Mail-in,550,"1,847"
Provisional,13,"1,847"
Total,"1,574","1,847"
