0,1,2
Precinct,Times Cast,"Registered 
Voters"
Cheltenham 6-3,,
Election Day,570,"1,077"
Mail-in,290,"1,077"
Provisional,11,"1,077"
Total,871,"1,077"
Cheltenham 7-1,,
Election Day,914,"1,503"
Mail-in,271,"1,503"
Provisional,10,"1,503"
Total,"1,195","1,503"
Cheltenham 7-2,,
Election Day,691,"1,096"
Mail-in,210,"1,096"
Provisional,8,"1,096"
Total,909,"1,096"
Cheltenham 7-3,,
Election Day,836,"1,523"
Mail-in,408,"1,523"
Provisional,21,"1,523"
Total,"1,265","1,523"
Douglass 1,,
Election Day,"1,134","1,656"
Mail-in,298,"1,656"
Provisional,14,"1,656"
Total,"1,446","1,656"
Douglass 2,,
Election Day,"1,167","1,841"
Mail-in,328,"1,841"
Provisional,16,"1,841"
Total,"1,511","1,841"
