precinct,candidate,votes
Summit Hill Borough - Third Ward/First,ROBERT P CASEY JR (DEM),188
Summit Hill Borough - Third Ward/First,DAVE MCCORMICK (REP),294
Summit Hill Borough - Third Ward/Second,ROBERT P CASEY JR (DEM),99
Summit Hill Borough - Third Ward/Second,DAVE MCCORMICK (REP),196
Towamensing Township - North,ROBERT P CASEY JR (DEM),293
Towamensing Township - North,DAVE MCCORMICK (REP),653
Towamensing Township - South-1,ROBERT P CASEY JR (DEM),250
Towamensing Township - South-1,DAVE MCCORMICK (REP),697
Towamensing Township - South-2,ROBERT P CASEY JR (DEM),234
Towamensing Township - South-2,DAVE MCCORMICK (REP),581
Weatherly Borough - East,ROBERT P CASEY JR (DEM),245
Weatherly Borough - East,DAVE MCCORMICK (REP),528
Weatherly Borough - West,ROBERT P CASEY JR (DEM),102
Weatherly Borough - West,DAVE MCCORMICK (REP),293
Weissport Borough,ROBERT P CASEY JR (DEM),48
Weissport Borough,DAVE MCCORMICK (REP),100
