precinct,candidate,votes
Summit Hill Borough - Third Ward/First,EUGENE DEPASQUALE (DEM),180
Summit Hill Borough - Third Ward/First,DAVE SUNDAY (REP),291
Summit Hill Borough - Third Ward/Second,EUGENE DEPASQUALE (DEM),95
Summit Hill Borough - Third Ward/Second,DAVE SUNDAY (REP),189
Towamensing Township - North,EUGENE DEPASQUALE (DEM),275
Towamensing Township - North,DAVE SUNDAY (REP),651
Towamensing Township - South-1,EUGENE DEPASQUALE (DEM),228
Towamensing Township - South-1,DAVE SUNDAY (REP),702
Towamensing Township - South-2,EUGENE DEPASQUALE (DEM),232
Towamensing Township - South-2,DAVE SUNDAY (REP),577
Weatherly Borough - East,EUGENE DEPASQUALE (DEM),227
Weatherly Borough - East,DAVE SUNDAY (REP),530
Weatherly Borough - West,EUGENE DEPASQUALE (DEM),100
Weatherly Borough - West,DAVE SUNDAY (REP),293
Weissport Borough,EUGENE DEPASQUALE (DEM),44
Weissport Borough,DAVE SUNDAY (REP),103
