precinct,method,candidate,votes
Narberth 3,Election Day,MARY GAY SCANLON(DEM),****
Narberth 3,Election Day,ALFEIA GOODWIN(REP),****
Narberth 3,Mail-in,MARY GAY SCANLON(DEM),****
Narberth 3,Mail-in,ALFEIA GOODWIN(REP),****
Narberth 3,Provisional,MARY GAY SCANLON(DEM),****
Narberth 3,Provisional,ALFEIA GOODWIN(REP),****
Narberth 3,Total,MARY GAY SCANLON(DEM),545
Narberth 3,Total,ALFEIA GOODWIN(REP),73
Norristown 1-1,Election Day,MARY GAY SCANLON(DEM),334
Norristown 1-1,Election Day,ALFEIA GOODWIN(REP),96
Norristown 1-1,Mail-in,MARY GAY SCANLON(DEM),169
Norristown 1-1,Mail-in,ALFEIA GOODWIN(REP),24
Norristown 1-1,Provisional,MARY GAY SCANLON(DEM),9
Norristown 1-1,Provisional,ALFEIA GOODWIN(REP),4
Norristown 1-1,Total,MARY GAY SCANLON(DEM),512
Norristown 1-1,Total,ALFEIA GOODWIN(REP),124
Norristown 1-2,Election Day,MARY GAY SCANLON(DEM),420
Norristown 1-2,Election Day,ALFEIA GOODWIN(REP),138
Norristown 1-2,Mail-in,MARY GAY SCANLON(DEM),192
Norristown 1-2,Mail-in,ALFEIA GOODWIN(REP),28
Norristown 1-2,Provisional,MARY GAY SCANLON(DEM),10
Norristown 1-2,Provisional,ALFEIA GOODWIN(REP),4
Norristown 1-2,Total,MARY GAY SCANLON(DEM),622
Norristown 1-2,Total,ALFEIA GOODWIN(REP),170
Norristown 1-3,Election Day,MARY GAY SCANLON(DEM),451
Norristown 1-3,Election Day,ALFEIA GOODWIN(REP),176
Norristown 1-3,Mail-in,MARY GAY SCANLON(DEM),180
Norristown 1-3,Mail-in,ALFEIA GOODWIN(REP),42
Norristown 1-3,Provisional,MARY GAY SCANLON(DEM),10
Norristown 1-3,Provisional,ALFEIA GOODWIN(REP),2
Norristown 1-3,Total,MARY GAY SCANLON(DEM),641
Norristown 1-3,Total,ALFEIA GOODWIN(REP),220
Norristown 2-1,Election Day,MARY GAY SCANLON(DEM),****
Norristown 2-1,Election Day,ALFEIA GOODWIN(REP),****
Norristown 2-1,Mail-in,MARY GAY SCANLON(DEM),****
Norristown 2-1,Mail-in,ALFEIA GOODWIN(REP),****
Norristown 2-1,Provisional,MARY GAY SCANLON(DEM),****
Norristown 2-1,Provisional,ALFEIA GOODWIN(REP),****
Norristown 2-1,Total,MARY GAY SCANLON(DEM),552
Norristown 2-1,Total,ALFEIA GOODWIN(REP),123
Norristown 2-2,Election Day,MARY GAY SCANLON(DEM),****
Norristown 2-2,Election Day,ALFEIA GOODWIN(REP),****
Norristown 2-2,Mail-in,MARY GAY SCANLON(DEM),****
Norristown 2-2,Mail-in,ALFEIA GOODWIN(REP),****
Norristown 2-2,Provisional,MARY GAY SCANLON(DEM),****
Norristown 2-2,Provisional,ALFEIA GOODWIN(REP),****
Norristown 2-2,Total,MARY GAY SCANLON(DEM),380
Norristown 2-2,Total,ALFEIA GOODWIN(REP),78
